"","Date_of_game","Team1","Team2","Pointspread","Score1","Score2","scorediff","Location","ATLANTA HAWKS","BOSTON CELTICS","BROOKLYN NETS","CHARLOTTE HORNETS","CHICAGO BULLS","CLEVELAND CAVALIERS","DALLAS MAVERICKS","DENVER NUGGETS","DETROIT PISTONS","GOLDEN STATE WARRIORS","HOUSTON ROCKETS","INDIANA PACERS","LOS ANGELES CLIPPERS","LOS ANGELES LAKERS","MEMPHIS GRIZZLIES","MIAMI HEAT","MILWAUKEE BUCKS","MINNESOTA TIMBERWOLVES","NEW ORLEANS PELICANS","NEW YORK KNICKS","OKLAHOMA CITY THUNDER","ORLANDO MAGIC","PHILADELPHIA 76ERS","PHOENIX SUNS","PORTLAND TRAIL BLAZERS","SACRAMENTO KINGS","SAN ANTONIO SPURS","TORONTO RAPTORS","UTAH JAZZ","WASHINGTON WIZARDS"
"22",2016-12-23,"ATLANTA HAWKS","DENVER NUGGETS",5,109,108,1,"V",1,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"23",2017-02-08,"ATLANTA HAWKS","DENVER NUGGETS",-4,117,106,11,"H",1,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"24",2016-12-02,"ATLANTA HAWKS","DETROIT PISTONS",-2.5,85,121,-36,"H",1,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"25",2016-12-30,"ATLANTA HAWKS","DETROIT PISTONS",-2.5,105,98,7,"H",1,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"26",2017-01-18,"ATLANTA HAWKS","DETROIT PISTONS",-2,95,118,-23,"V",1,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"27",2016-11-28,"ATLANTA HAWKS","GOLDEN STATE WARRIORS",14,100,105,-5,"V",1,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"28",2017-03-06,"ATLANTA HAWKS","GOLDEN STATE WARRIORS",5.5,111,119,-8,"H",1,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"29",2016-11-05,"ATLANTA HAWKS","HOUSTON ROCKETS",-3,112,97,15,"H",1,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"30",2017-02-02,"ATLANTA HAWKS","HOUSTON ROCKETS",9.5,113,108,5,"V",1,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"31",2016-11-23,"ATLANTA HAWKS","INDIANA PACERS",-1.5,96,85,11,"V",1,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"32",2017-03-05,"ATLANTA HAWKS","INDIANA PACERS",-3,96,97,-1,"H",1,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"33",2017-04-12,"ATLANTA HAWKS","INDIANA PACERS",14,86,104,-18,"V",1,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"34",2017-01-23,"ATLANTA HAWKS","LOS ANGELES CLIPPERS",-7.5,105,115,-10,"H",1,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
