"","x"
"591",-4
"592",1
"593",-8
"594",-4
"595",-7
"596",3
"597",4
"598",1
"599",-1
"600",-16
"601",8
"602",10
"603",-5
"604",-4
"605",-15
"606",7
"607",0
"608",-4
"609",-5
"610",3
"611",-2
"612",-8
"613",-3
"614",-16
"615",6
"616",-3
"617",-1
"618",-15
"619",-8
"620",-7
"621",12
"622",2
"623",-2
"624",0
"625",-11
"626",-4
"627",4
"628",-2
"629",-2
"630",-14
"631",6
"632",2
"633",1
"634",-19
"635",0
"636",-2
"637",4
"638",2
"639",-4
"640",-1
"641",-3
"642",-1
"643",8
"644",0
"645",-4
"646",-3
"647",12
"648",4
"649",1
"650",2
"651",8
"652",-13
"653",-8
"654",2
"655",-3
"656",-7
"657",5
"658",-4
"659",-2
"660",3
"661",-4
"662",-8
"663",-10
"664",-9
"665",7
"666",1
"667",-23
"668",-8
"669",16
"670",-13
"671",6
"672",-1
"673",-15
"674",-2
"675",-5
"676",6
"677",-4
"678",7
"679",-14
"680",14
"681",-1
"682",1
"683",5
"684",-4
"685",7
"686",4
"687",4
"688",0
"689",-8
"690",-2
"691",10
"692",-11
"693",-2
"694",3
"695",-5
"696",-1
"697",0
"698",3
"699",-3
"700",-1
"701",8
"702",-3
"703",9
"704",10
"705",10
"706",7
"707",10
"708",-1
"709",1
"710",5
"711",-1
"712",24
"713",6
"714",6
"715",5
"716",-5
"717",-6
"718",3
"719",1
"720",6
"721",-10
"722",-1
"723",-10
"724",0
"725",0
"726",2
"727",-6
"728",-11
"729",-3
"730",1
"731",4
"732",2
"733",10
"734",1
"735",-5
"736",3
"737",4
"738",4
"739",1
"740",12
"741",23
"742",21
"743",-2
"744",1
"745",-5
"746",8
"747",-7
"748",11
"749",1
"750",13
"751",6
"752",8
"753",0
"754",0
"755",-4
"756",-5
"757",9
"758",3
"759",3
"760",-2
"761",7
"762",4
"763",2
"764",6
"765",-4
"766",-5
"767",-1
"768",-3
"769",0
"770",4
"771",13
"772",10
"773",14
"774",-2
"775",10
"776",-5
"777",3
"778",1
"779",2
"780",11
"781",-9
"782",3
"783",-1
"784",1
"785",-1
"786",1
"787",0
"788",2
"789",-9
"790",-2
"791",6
"792",-7
"793",-4
"794",-5
"795",0
"796",-3
"797",0
"798",11
"799",-5
"800",-1
"801",3
"802",-7
"803",9
"804",-3
"805",6
"806",-16
"807",8
"808",1
"809",6
"810",-2
"811",-3
"812",0
"813",-1
"814",16
"815",2
"816",-9
"817",-9
"818",8
"819",-6
"820",-3
"821",0
"822",-2
"823",10
"824",9
"825",-11
"826",1
"827",11
"828",4
"829",0
"830",12
"831",3
"832",-2
"833",6
"834",-4
"835",14
"836",-11
"837",8
"838",15
"839",14
"840",8
"841",0
"842",1
"843",-2
"844",-3
"845",5
"846",-6
"847",1
"848",-13
"849",7
"850",-3
"851",-3
"852",-7
"853",4
"854",-5
"855",-8
"856",11
"857",8
"858",10
"859",8
"860",13
"861",6
"862",7
"863",0
"864",7
"865",2
"866",11
"867",-6
"868",-6
"869",1
"870",-9
"871",1
"872",4
"873",-1
"874",-4
"875",5
"876",-12
"877",2
"878",16
"879",6
"880",5
"881",14
"882",7
"883",10
"884",2
"885",11
"886",8
"887",12
"888",4
"889",-1
"890",-2
"891",14
"892",9
"893",-9
"894",-4
"895",-6
"896",-3
"897",8
"898",-14
"899",4
"900",-5
"901",0
"902",12
"903",2
"904",-12
"905",2
"906",6
"907",11
"908",-7
"909",-3
"910",-4
"911",8
"912",12
"913",-17
"914",11
"915",-1
"916",5
"917",3
"918",-7
"919",-3
"920",4
"921",-8
"922",-10
"923",-9
"924",-12
"925",-13
"926",1
"927",-8
"928",-1
"929",5
"930",5
"931",-6
"932",12
"933",-1
"934",0
"935",-2
"936",5
"937",10
"938",-7
"939",-4
"940",7
"941",-1
"942",-2
"943",-3
"944",1
"945",4
"946",-10
"947",8
"948",-1
"949",-8
"950",0
"951",7
"952",-1
"953",-4
"954",-12
"955",0
"956",1
"957",-12
"958",0
"959",-3
"960",7
"961",11
"962",-7
"963",0
"964",-1
"965",4
"966",19
"967",14
"968",3
"969",-7
"970",6
"971",-7
"972",-4
"973",4
"974",-11
"975",-11
"976",-6
"977",2
"978",0
"979",11
"980",1
"981",15
"982",-8
"983",-2
"984",3
"985",4
"986",-9
"987",6
"988",2
"989",-18
"990",-3
"991",0
"992",11
"993",6
"994",-3
"995",-3
"996",-6
"997",-18
"998",2
"999",5
"1000",2
"1001",-2
"1002",-6
"1003",8
"1004",4
"1005",1
"1006",-3
"1007",-18
"1008",-3
"1009",3
"1010",1
