"","Date","Team","Acquired","Relinquished","Notes"
"16534",2016-12-02,"Nuggets","Will Barton","","returned to lineup"
"16535",2016-12-02,"Pistons","","Henry Ellenson","placed on IL with sprained right ankle (DTD)"
"16536",2016-12-02,"Pistons","Reggie Jackson ","","activated from IL"
"16537",2016-12-02,"Raptors","","DeMarre Carroll","rest (DTD)"
"16538",2016-12-02,"Rockets","","Chinanu Onuaku","placed on IL"
"16539",2016-12-02,"Spurs",""," Tony Parker","placed on IL with bruised left quadriceps"
"16540",2016-12-02,"Spurs","","Bryn Forbes","placed on IL"
"16541",2016-12-02,"Spurs","Manu Ginobili","","activated from IL"
"16542",2016-12-02,"Spurs","Pau Gasol","","activated from IL"
"16543",2016-12-03,"76ers","","Joel Embiid","rest (DTD)"
"16544",2016-12-03,"76ers","","Robert Covington","sprained left knee (DTD)"
"16545",2016-12-03,"Bulls","","Dwyane Wade","DNP"
"16546",2016-12-03,"Bulls","Paul Zipser","","returned to lineup"
"16547",2016-12-03,"Hawks","","Paul Millsap","placed on IL with sore left hip"
"16548",2016-12-03,"Hawks","DeAndre Bembry","","activated from IL"
"16549",2016-12-03,"Heat","Derrick Williams","","returned to lineup"
"16550",2016-12-03,"Lakers","","Larry Nance Jr.","bruised/sore right knee (DTD)"
"16551",2016-12-03,"Mavericks","Andrew Bogut","","returned to lineup"
"16552",2016-12-03,"Nets","","Trevor Booker","illness (DTD)"
"16553",2016-12-03,"Raptors","DeMarre Carroll","","returned to lineup"
"16554",2016-12-03,"Warriors","","James McAdoo ","placed on IL"
"16555",2016-12-03,"Warriors","Anderson Varejao","","activated from IL"
"16556",2016-12-03,"Jazz","Rodney Hood","","returned to lineup"
"16557",2016-12-04,"Clippers","J.J. Redick","","returned to lineup"
"16558",2016-12-04,"Knicks","Joakim Noah","","activated from IL"
"16559",2016-12-04,"Pacers","","Georges Niang","placed on IL"
"16560",2016-12-04,"Pacers","","Rakeem Christmas","placed on IL"
"16561",2016-12-04,"Pacers","C.J. Miles","","activated from IL"
"16562",2016-12-04,"Pacers","Kevin Seraphin","","activated from IL"
"16563",2016-12-04,"Pacers","Paul George","","returned to lineup"
"16564",2016-12-04,"Pistons","","Michael Gbinije","placed on IL"
"16565",2016-12-04,"Pistons","Henry Ellenson","","activated from IL"
"16566",2016-12-04,"Pistons","Reggie Jackson ","","returned to lineup"
"16567",2016-12-04,"Knicks","","Maurice N'dour","placed on IL"
"16568",2016-12-05,"76ers","","Jahlil Okafor","gastroenteritis (DTD)"
"16569",2016-12-05,"76ers","Joel Embiid","","returned to lineup"
"16570",2016-12-05,"Blazers","","Tim Quarterman","placed on IL"
"16571",2016-12-05,"Blazers","Al-Farouq Aminu","","activated from IL"
"16572",2016-12-05,"Bulls","Dwyane Wade","","returned to lineup"
"16573",2016-12-05,"Cavaliers","","J.R. Smith","bruised / hyperextended (CBC) left knee (DTD)"
"16574",2016-12-05,"Cavaliers","","Kay Felder","placed on IL"
"16575",2016-12-05,"Cavaliers","Mike Dunleavy Jr.","","activated from IL"
"16576",2016-12-05,"Celtics","","James Young","placed on IL with illness"
"16577",2016-12-05,"Hawks","","DeAndre Bembry","placed on IL"
"16578",2016-12-05,"Hawks","Paul Millsap","","activated from IL"
"16579",2016-12-05,"Heat","","James Johnson","strained rotator cuff in right shoulder (DTD)"
"16580",2016-12-05,"Lakers","","Jose Calderon","placed on IL with strained right hamstring"
"16581",2016-12-05,"Nets","Trevor Booker","","returned to lineup"
"16582",2016-12-05,"Pelicans","","E'Twaun Moore","sore toe (DTD)"
"16583",2016-12-05,"Pelicans","","Jrue Holiday","turf toe (DTD)"
"16584",2016-12-05,"Spurs","","Dejounte Murray","placed on IL"
"16585",2016-12-05,"Spurs"," Tony Parker","","activated from IL"
"16586",2016-12-05,"Warriors","","Anderson Varejao","placed on IL"
"16587",2016-12-05,"Warriors","James McAdoo ","","activated from IL"
"16588",2016-12-05,"Bulls","Doug McDermott","","activated from IL"
"16589",2016-12-05,"Grizzlies","Brandan Wright","","activated from IL"
"16590",2016-12-05,"Nets","","Yogi Ferrell","placed on IL"
"16591",2016-12-05,"Nets","Caris LeVert","","activated from IL"
"16592",2016-12-05,"Celtics","Jordan Mickey","","activated from IL"
"16593",2016-12-05,"Grizzlies","","Brandan Wright","left ankle injury (DTD)"
"16594",2016-12-05,"Lakers","Ivica Zubac","","activated from IL"
"16595",2016-12-05,"Nets","","Caris LeVert","sore foot (DTD)"
"16596",2016-12-06,"76ers","","Joel Embiid","rest (DTD)"
"16597",2016-12-06,"Celtics","","Isaiah Thomas","sore/strained groin (DTD)"
"16598",2016-12-06,"Grizzlies","","Brandan Wright","placed on IL with left ankle injury"
"16599",2016-12-06,"Grizzlies","","Mike Conley Jr.","placed on IL with sore lower back"
"16600",2016-12-06,"Heat","","Luke Babbitt","strained right hip flexor (DTD)"
"16601",2016-12-06,"Knicks","","Marshall Plumlee","placed on IL"
"16602",2016-12-06,"Knicks","Courtney Lee","","activated from IL"
"16603",2016-12-06,"Lakers","","Tarik Black","sprained right ankle (DTD)"
"16604",2016-12-06,"Mavericks","","Andrew Bogut","bone bruise in right knee (DTD)"
"16605",2016-12-06,"Pistons","","Michael Gbinije","placed on IL"
"16606",2016-12-06,"Pistons","Henry Ellenson","","activated from IL"
"16607",2016-12-06,"Spurs",""," Tony Parker","placed on IL with bruised left knee / thigh"
"16608",2016-12-06,"Spurs","","Manu Ginobili","rest (DTD)"
"16609",2016-12-06,"Spurs","Bryn Forbes","","activated from IL"
"16610",2016-12-06,"Timberwolves","","John Lucas III","placed on IL"
"16611",2016-12-06,"Timberwolves","Brandon Rush","","activated from IL"
"16612",2016-12-07,"Cavaliers","","J.R. Smith","placed on IL with hyperextended left knee"
"16613",2016-12-07,"Cavaliers","Kay Felder","","activated from IL"
"16614",2016-12-07,"Celtics","","Isaiah Thomas","placed on IL with sore/strained groin"
"16615",2016-12-07,"Celtics","Demetrius Jackson","","activated from IL"
"16616",2016-12-07,"Hawks","","Kent Bazemore","placed on IL with sore right knee"
"16617",2016-12-07,"Hawks","DeAndre Bembry","","activated from IL"
"16618",2016-12-07,"Heat","","Rodney McGruder","sore ankle (DTD)"
"16619",2016-12-07,"Hornets","Marvin Williams","","activated from IL"
"16620",2016-12-07,"Jazz","","Rodney Hood","strained/sore right hamstring (DTD)"
"16621",2016-12-07,"Knicks","","Derrick Rose","placed on IL with sore/strained lower back"
"16622",2016-12-07,"Knicks","Maurice N'dour","","activated from IL"
"16623",2016-12-07,"Lakers","Larry Nance Jr.","","returned to lineup"
"16624",2016-12-07,"Nets","Caris LeVert","","returned to lineup"
"16625",2016-12-07,"Nets","Yogi Ferrell","","activated from IL"
"16626",2016-12-07,"Nuggets","","Jamal Murray","bruised left quadricep (DTD)"
"16627",2016-12-07,"Nuggets","","Malik Beasley","placed on IL"
"16628",2016-12-07,"Nuggets","Nikola Jokic","","activated from IL"
"16629",2016-12-07,"Rockets","","Donatas Motiejunas","placed on IL"
"16630",2016-12-07,"Hornets","","Aaron Harrison","placed on IL"
"16631",2016-12-07,"Nets","","Chris McCullough","placed on IL"
"16632",2016-12-08,"76ers","Joel Embiid","","returned to lineup"
"16633",2016-12-08,"76ers","Robert Covington","","returned to lineup"
"16634",2016-12-08,"Blazers","","Moe Harkless","placed on IL with sprained left ankle"
"16635",2016-12-08,"Blazers","Tim Quarterman","","activated from IL"
"16636",2016-12-08,"Bulls","","R.J. Hunter","placed on IL"
"16637",2016-12-08,"Bulls","Doug McDermott","","activated from IL"
"16638",2016-12-08,"Jazz","","Gordon Hayward","left finger injury (DTD)"
"16639",2016-12-08,"Nuggets","","Emmanuel Mudiay","placed on IL with sprained right ankle"
"16640",2016-12-08,"Nuggets","Malik Beasley","","activated from IL"
"16641",2016-12-08,"Spurs","","Bryn Forbes","placed on IL"
"16642",2016-12-08,"Spurs"," Tony Parker","","activated from IL"
"16643",2016-12-08,"Warriors","","James McAdoo ","placed on IL"
"16644",2016-12-08,"Warriors","","Shaun Livingston","placed on IL for rest"
"16645",2016-12-08,"Warriors","Anderson Varejao","","activated from IL"
"16646",2016-12-08,"Warriors","Damian Jones","","activated from IL"
"16647",2016-12-09,"Celtics","","Jordan Mickey","placed on IL"
"16648",2016-12-09,"Celtics","James Young","","activated from IL"
"16649",2016-12-09,"Kings","","Matt Barnes","rest (DTD)"
"16650",2016-12-09,"Knicks","","Maurice N'dour","placed on IL"
"16651",2016-12-09,"Knicks","Marshall Plumlee","","activated from IL"
"16652",2016-12-09,"Mavericks","Seth Curry","","returned to lineup"
"16653",2016-12-09,"Raptors","","Bruno Caboclo","sore right knee (DTD)"
"16654",2016-12-09,"Raptors","","DeMarre Carroll","rest (DTD)"
"16655",2016-12-09,"Timberwolves","","Nemanja Bjelica","placed on IL with sore right ankle"
"16656",2016-12-09,"Timberwolves","John Lucas III","","activated from IL"
"16657",2016-12-10,"76ers","","Joel Embiid","right elbow inflammation / rest (DTD)"
"16658",2016-12-10,"Blazers","","Al-Farouq Aminu","back injury (DTD)"
"16659",2016-12-10,"Blazers","","Tim Quarterman","placed on IL"
"16660",2016-12-10,"Blazers","Moe Harkless","","activated from IL"
"16661",2016-12-10,"Cavaliers","J.R. Smith","","activated from IL"
"16662",2016-12-10,"Clippers","","Blake Griffin","sore right knee (DTD)"
"16663",2016-12-10,"Heat","Josh Richardson","","returned to lineup"
"16664",2016-12-10,"Jazz","Gordon Hayward","","returned to lineup"
"16665",2016-12-10,"Kings","Matt Barnes","","returned to lineup"
"16666",2016-12-10,"Magic","","Nikola Vucevic","placed on IL with bruised lower back"
"16667",2016-12-10,"Nets","","Justin Hamilton ","migraine headache (DTD)"
"16668",2016-12-10,"Nuggets","","Malik Beasley","placed on IL"
"16669",2016-12-10,"Nuggets","","Wilson Chandler","right hip injury (DTD)"
"16670",2016-12-10,"Nuggets","Emmanuel Mudiay","","activated from IL"
"16671",2016-12-10,"Pelicans","","Anthony Davis","rest (DTD)"
"16672",2016-12-10,"Warriors","","Andre Iguodala","placed on IL"
"16673",2016-12-10,"Warriors","","Kevon Looney","placed on IL with ankle injury"
"16674",2016-12-10,"Warriors","","Zaza Pachulia","bruised right wrist (DTD)"
"16675",2016-12-10,"Warriors","James McAdoo ","","activated from IL"
"16676",2016-12-10,"Warriors","Shaun Livingston","","activated from IL"
"16677",2016-12-10,"Magic","Stephen Zimmerman Jr.","","activated from IL"
"16678",2016-12-11,"76ers","","Jerryd Bayless","placed on IL with sore left wrist (out for season)"
"16679",2016-12-11,"76ers","","Sergio Rodriguez","flu/gastroenteritis (DTD)"
"16680",2016-12-11,"76ers","Jahlil Okafor","","returned to lineup"
"16681",2016-12-11,"76ers","Nerlens Noel","","activated from IL"
"16682",2016-12-11,"Clippers","","Austin Rivers","concussion (DTD)"
"16683",2016-12-11,"Knicks","","Kyle O'Quinn","placed on IL with sprained right ankle"
"16684",2016-12-11,"Knicks","Derrick Rose","","activated from IL"
"16685",2016-12-11,"Lakers","","Tarik Black","placed on IL with sprained right ankle"
"16686",2016-12-11,"Lakers","D'Angelo Russell","","activated from IL"
"16687",2016-12-11,"Lakers","Nick Young","","returned to lineup"
"16688",2016-12-11,"Pelicans","E'Twaun Moore","","returned to lineup"
"16689",2016-12-11,"Pelicans","Jrue Holiday","","returned to lineup"
"16690",2016-12-11,"Pistons","","Kentavious Caldwell-Pope","placed on IL with bruised right knee"
"16691",2016-12-11,"Pistons","Michael Gbinije","","activated from IL"
"16692",2016-12-11,"Warriors","","Damian Jones","placed on IL"
"16693",2016-12-11,"Warriors","","Zaza Pachulia","placed on IL with bruised right wrist"
"16694",2016-12-11,"Warriors","Andre Iguodala","","activated from IL"
"16695",2016-12-11,"Warriors","Kevon Looney","","activated from IL"
"16696",2016-12-12,"Blazers","Al-Farouq Aminu","","returned to lineup"
"16697",2016-12-12,"Clippers","Blake Griffin","","returned to lineup"
"16698",2016-12-12,"Heat","James Johnson","","returned to lineup"
"16699",2016-12-12,"Kings","","Matt Barnes","rest (DTD)"
"16700",2016-12-12,"Nets","","Justin Hamilton ","placed on IL"
"16701",2016-12-12,"Nets","Jeremy Lin","","activated from IL"
"16702",2016-12-12,"Nuggets","","Darrell Arthur","sore knee (DTD)"
"16703",2016-12-12,"Nuggets","Wilson Chandler","","returned to lineup"
"16704",2016-12-12,"Pacers","","Monta Ellis","placed on IL with strained right groin"
"16705",2016-12-12,"Raptors","DeMarre Carroll","","returned to lineup"
"16706",2016-12-12,"Suns","","Alex Len","bruised right hip (DTD)"
"16707",2016-12-12,"Pacers","Georges Niang","","activated from IL"
"16708",2016-12-13,"Blazers","","Al-Farouq Aminu","placed on IL with bruised back"
"16709",2016-12-13,"Blazers","Tim Quarterman","","activated from IL"
"16710",2016-12-13,"Bulls","","Rajon Rondo","placed on IL with sprained right ankle"
"16711",2016-12-13,"Bulls","R.J. Hunter","","activated from IL"
"16712",2016-12-13,"Cavaliers","","Kyrie Irving","placed on IL for rest"
"16713",2016-12-13,"Grizzlies","","Marc Gasol","rest (DTD)"
"16714",2016-12-13,"Grizzlies","Vince Carter","","returned to lineup"
"16715",2016-12-13,"Hawks",""," Mike Scott","placed on IL"
"16716",2016-12-13,"Hawks","Kent Bazemore","","activated from IL"
"16717",2016-12-13,"Knicks","","Marshall Plumlee","placed on IL"
"16718",2016-12-13,"Knicks","Kyle O'Quinn","","activated from IL"
"16719",2016-12-13,"Magic","","C.J. Wilcox","placed on IL"
"16720",2016-12-13,"Rockets","Chinanu Onuaku","","activated from IL"
"16721",2016-12-13,"Thunder","","Victor Oladipo","sprained right wrist (DTD)"
"16722",2016-12-13,"Timberwolves","","John Lucas III","placed on IL"
"16723",2016-12-13,"Timberwolves","Nemanja Bjelica","","activated from IL"
"16724",2016-12-13,"Warriors","","James McAdoo ","placed on IL"
"16725",2016-12-13,"Warriors","Damian Jones","","activated from IL"
"16726",2016-12-14,"76ers","","Nerlens Noel","sprained left ankle (DTD)"
"16727",2016-12-14,"76ers","Joel Embiid","","returned to lineup"
"16728",2016-12-14,"76ers","Sergio Rodriguez","","returned to lineup"
"16729",2016-12-14,"Bucks","","Michael Beasley","sprained left foot (DTD)"
"16730",2016-12-14,"Cavaliers","","Kevin Love","rest (DTD)"
"16731",2016-12-14,"Cavaliers","","LeBron James","rest (DTD)"
"16732",2016-12-14,"Celtics","","Gerald Green ","placed on IL with sore left hip"
"16733",2016-12-14,"Celtics","Jordan Mickey","","activated from IL"
"16734",2016-12-14,"Clippers","","Luc Mbah a Moute","sprained right shoulder (DTD)"
"16735",2016-12-14,"Clippers","Austin Rivers","","returned to lineup"
"16736",2016-12-14,"Grizzlies","","Deyonta Davis","plantar fasciitis in left foot (DTD)"
"16737",2016-12-14,"Grizzlies","Marc Gasol","","returned to lineup"
"16738",2016-12-14,"Heat","Justise Winslow","","returned to lineup"
"16739",2016-12-14,"Heat","Luke Babbitt","","returned to lineup"
"16740",2016-12-14,"Jazz","","George Hill","placed on IL with sprained left big toe"
"16741",2016-12-14,"Jazz","Derrick Favors","","activated from IL"
"16742",2016-12-14,"Jazz","Rodney Hood","","returned to lineup"
"16743",2016-12-14,"Kings","","Ben McLemore","placed on IL for quadriceps injury / rest"
"16744",2016-12-14,"Kings","","DeMarcus Cousins","rest (DTD)"
"16745",2016-12-14,"Kings","","Rudy Gay","placed on IL for right hip flexor injury"
"16746",2016-12-14,"Kings","Malachi Richardson","","activated from IL"
"16747",2016-12-14,"Kings","Matt Barnes","","returned to lineup"
"16748",2016-12-14,"Kings","Skal Labissiere","","activated from IL"
"16749",2016-12-14,"Knicks","","Derrick Rose","back spasms (DTD)"
"16750",2016-12-14,"Magic","C.J. Wilcox","","activated from IL"
"16751",2016-12-14,"Nets","","Jeremy Lin","placed on IL with sore back / tightness in back"
"16752",2016-12-14,"Nets","Justin Hamilton ","","activated from IL"
"16753",2016-12-14,"Pelicans","","Tim Frazier","sprained right wrist (DTD)"
"16754",2016-12-14,"Pistons","","Henry Ellenson","placed on IL"
"16755",2016-12-14,"Pistons","Kentavious Caldwell-Pope","","activated from IL"
"16756",2016-12-14,"Raptors","","Lucas Nogueira","sore right knee (DTD)"
"16757",2016-12-14,"Rockets","","Chinanu Onuaku","placed on IL"
"16758",2016-12-14,"Spurs","","LaMarcus Aldridge","placed on IL for rest"
"16759",2016-12-14,"Spurs","Bryn Forbes","","activated from IL"
"16760",2016-12-14,"Wizards","","Markieff Morris","sore left foot (DTD)"
"16761",2016-12-15,"76ers","","Jerryd Bayless","surgery on left wrist to repair torn ligament (out for season)"
"16762",2016-12-15,"Bucks","","Michael Beasley","placed on IL with sprained left foot"
"16763",2016-12-15,"Bucks","Steve Novak","","activated from IL"
"16764",2016-12-15,"Bulls","","R.J. Hunter","placed on IL"
"16765",2016-12-15,"Bulls","Rajon Rondo","","activated from IL"
"16766",2016-12-15,"Knicks","","Carmelo Anthony","placed on IL with sore right shoulder"
"16767",2016-12-15,"Knicks","","Derrick Rose","placed on IL with sore lower back"
"16768",2016-12-15,"Knicks","Marshall Plumlee","","activated from IL"
"16769",2016-12-15,"Knicks","Maurice N'dour","","activated from IL"
"16770",2016-12-15,"Nuggets","","Alonzo Gee","placed on IL"
"16771",2016-12-15,"Nuggets","Gary Harris","","activated from IL"
"16772",2016-12-15,"Pacers","","Rodney Stuckey","sore/strained left hamstring (DTD)"
"16773",2016-12-15,"Pelicans","","Tim Frazier","placed on IL with sprained right wrist"
"16774",2016-12-15,"Pelicans","Tyreke Evans","","activated from IL"
"16775",2016-12-15,"Suns","","Alex Len","placed on IL"
"16776",2016-12-15,"Warriors","","Damian Jones","placed on IL"
"16777",2016-12-15,"Warriors","James McAdoo ","","activated from IL"
"16778",2016-12-15,"Suns","Derrick Jones Jr.","","activated from IL"
"16779",2016-12-16,"76ers","","Hollis Thompson","sore right knee (DTD)"
"16780",2016-12-16,"76ers","Nerlens Noel","","returned to lineup"
"16781",2016-12-16,"Cavaliers","","Chris Andersen","torn ACL in right knee (out for season)"
"16782",2016-12-16,"Celtics","","Demetrius Jackson","placed on IL"
"16783",2016-12-16,"Celtics","Isaiah Thomas","","activated from IL"
"16784",2016-12-16,"Grizzlies","","Wade Baldwin IV","placed on IL"
"16785",2016-12-16,"Grizzlies","Mike Conley Jr.","","activated from IL"
"16786",2016-12-16,"Heat","","Tyler Johnson","illness (DTD)"
"16787",2016-12-16,"Kings","","Omri Casspi","placed on IL with illness"
"16788",2016-12-16,"Kings","Ben McLemore","","activated from IL"
"16789",2016-12-16,"Lakers","","Ivica Zubac","placed on IL"
"16790",2016-12-16,"Lakers","Tarik Black","","activated from IL"
"16791",2016-12-16,"Magic","","C.J. Wilcox","placed on IL"
"16792",2016-12-16,"Magic","","Stephen Zimmerman Jr.","placed on IL"
"16793",2016-12-16,"Magic","Nikola Vucevic","","activated from IL"
"16794",2016-12-16,"Nets","","Justin Hamilton ","placed on IL"
"16795",2016-12-16,"Nets","Jeremy Lin","","activated from IL"
"16796",2016-12-16,"Pelicans","","Solomon Hill","personal reasons (DTD)"
"16797",2016-12-16,"Pelicans","","Tyreke Evans","placed on IL for rest"
"16798",2016-12-16,"Pelicans","Tim Frazier","","activated from IL"
"16799",2016-12-16,"Raptors","Lucas Nogueira","","returned to lineup"
"16800",2016-12-16,"Rockets","Chinanu Onuaku","","activated from IL"
"16801",2016-12-16,"Wizards","Markieff Morris","","returned to lineup"
"16802",2016-12-16,"Rockets","","Bobby Brown","placed on IL"
"16803",2016-12-17,"Cavaliers","","Chris Andersen","placed on IL with torn ACL in right knee"
"16804",2016-12-17,"Cavaliers","Kevin Love","","returned to lineup"
"16805",2016-12-17,"Cavaliers","Kyrie Irving","","activated from IL"
"16806",2016-12-17,"Cavaliers","LeBron James","","returned to lineup"
"16807",2016-12-17,"Hawks","","DeAndre Bembry","placed on IL"
"16808",2016-12-17,"Hawks"," Mike Scott","","activated from IL"
"16809",2016-12-17,"Heat","","Wayne Ellington","strained right hamstring (DTD)"
"16810",2016-12-17,"Hornets","Kemba Walker","","returned to lineup"
"16811",2016-12-17,"Knicks","","Marshall Plumlee","placed on IL"
"16812",2016-12-17,"Knicks","Carmelo Anthony","","activated from IL"
"16813",2016-12-17,"Lakers","","D'Angelo Russell","placed on IL for rest"
"16814",2016-12-17,"Lakers","","Tarik Black","sore right ankle (DTD)"
"16815",2016-12-17,"Lakers","Ivica Zubac","","activated from IL"
"16816",2016-12-17,"Nuggets","Darrell Arthur","","returned to lineup"
"16817",2016-12-17,"Pistons","","Jon Leuer","placed on IL with back spasms"
"16818",2016-12-17,"Suns","","Derrick Jones Jr.","placed on IL"
"16819",2016-12-17,"Suns","","John Jenkins","placed on IL"
"16820",2016-12-17,"Suns","Alex Len","","activated from IL"
"16821",2016-12-17,"Suns","T.J. Warren","","activated from IL"
"16822",2016-12-17,"Warriors","","Anderson Varejao","placed on IL"
"16823",2016-12-17,"Warriors","Zaza Pachulia","","activated from IL"
"16824",2016-12-17,"Pistons","Henry Ellenson","","activated from IL"
"16825",2016-12-18,"76ers","","Nik Stauskas","sore left knee (DTD)"
"16826",2016-12-18,"76ers","Hollis Thompson","","returned to lineup"
"16827",2016-12-18,"Celtics","","Jordan Mickey","placed on IL"
"16828",2016-12-18,"Celtics","Gerald Green ","","activated from IL"
"16829",2016-12-18,"Clippers","Luc Mbah a Moute","","returned to lineup"
"16830",2016-12-18,"Grizzlies","James Ennis","","returned to lineup"
"16831",2016-12-18,"Heat","Tyler Johnson","","returned to lineup"
"16832",2016-12-18,"Kings","Omri Casspi","","activated from IL"
"16833",2016-12-18,"Nets","","Spencer Dinwiddie","placed on IL"
"16834",2016-12-18,"Nets","Justin Hamilton ","","activated from IL"
"16835",2016-12-18,"Pelicans","Dante Cunningham","","returned to lineup"
"16836",2016-12-18,"Pelicans","Tyreke Evans","","activated from IL"
"16837",2016-12-18,"Raptors","","Cory Joseph","flu (DTD)"
"16838",2016-12-18,"Spurs","LaMarcus Aldridge","","activated from IL"
"16839",2016-12-18,"Wizards","","Jason Smith","strained right hamstring (DTD)"
"16840",2016-12-18,"Wizards","","Kelly Oubre Jr.","concussion (DTD)"
"16841",2016-12-18,"Spurs","","Bryn Forbes","placed on IL"
"16842",2016-12-19,"Cavaliers","","Kevin Love","bruised left knee (DTD)"
"16843",2016-12-19,"Clippers","","Blake Griffin","arthroscopic surgery on right knee (out indefinitely) (date approximate)"
"16844",2016-12-19,"Hawks","","Dwight Howard","placed on IL with sore back"
"16845",2016-12-19,"Hawks","DeAndre Bembry","","activated from IL"
"16846",2016-12-19,"Heat","","Rodney McGruder","sprained left ankle (DTD)"
"16847",2016-12-19,"Mavericks","","Andrew Bogut","placed on IL with bone bruise in right knee"
"16848",2016-12-19,"Mavericks","Jose Barea ","","activated from IL"
"16849",2016-12-19,"Pistons","","Michael Gbinije","placed on IL"
"16850",2016-12-19,"Pistons","Jon Leuer","","activated from IL"
"16851",2016-12-19,"Rockets","","Clint Capela","fractured fibula in left leg (out indefinitely)"
"16852",2016-12-19,"Thunder","","Victor Oladipo","placed on IL with sprained right wrist"
"16853",2016-12-19,"Thunder","Josh Huestis","","activated from IL"
"16854",2016-12-19,"Wizards","Jason Smith","","returned to lineup"
"16855",2016-12-19,"Wizards","Kelly Oubre Jr.","","returned to lineup"
"16856",2016-12-20,"76ers","Nik Stauskas","","returned to lineup"
"16857",2016-12-20,"Blazers","","Evan Turner","sprained left ankle (DTD)"
"16858",2016-12-20,"Celtics","","James Young","placed on IL"
"16859",2016-12-20,"Celtics","Jordan Mickey","","activated from IL"
"16860",2016-12-20,"Clippers","","Blake Griffin","placed on IL with arthroscopic surgery on right knee"
"16861",2016-12-20,"Jazz","","Derrick Favors","rehab of left knee (DTD)"
"16862",2016-12-20,"Kings","","Omri Casspi","illness (DTD)"
"16863",2016-12-20,"Knicks","Derrick Rose","","activated from IL"
"16864",2016-12-20,"Lakers","","Tarik Black","placed on IL with sore right ankle"
"16865",2016-12-20,"Lakers","D'Angelo Russell","","activated from IL"
"16866",2016-12-20,"Nets","","Brook Lopez","placed on IL for rest"
"16867",2016-12-20,"Nets","","Isaiah Whitehead","sore left foot (DTD)"
"16868",2016-12-20,"Nets","Spencer Dinwiddie","","activated from IL"
"16869",2016-12-20,"Pelicans","","Tyreke Evans","placed on IL"
"16870",2016-12-20,"Raptors","Cory Joseph","","returned to lineup"
"16871",2016-12-20,"Rockets","","Clint Capela","placed on IL with fractured fibula in left leg"
"16872",2016-12-20,"Rockets","Chinanu Onuaku","","activated from IL"
"16873",2016-12-20,"Warriors","","James McAdoo ","placed on IL"
"16874",2016-12-20,"Warriors","Anderson Varejao","","activated from IL"
"16875",2016-12-20,"Clippers","Diamond Stone","","activated from IL"
"16876",2016-12-20,"Knicks","","Maurice N'dour","placed on IL"
"16877",2016-12-21,"Blazers","","Evan Turner","placed on IL with sprained left ankle"
"16878",2016-12-21,"Blazers","Al-Farouq Aminu","","activated from IL"
"16879",2016-12-21,"Cavaliers","","J.R. Smith","fractured right thumb (out indefinitely)"
"16880",2016-12-21,"Grizzlies","","Deyonta Davis","placed on IL with plantar fasciitis in left foot (DTD)"
"16881",2016-12-21,"Grizzlies","Chandler Parsons","","activated from IL"
"16882",2016-12-21,"Hawks","","Tim Hardaway Jr.","sore groin (DTD)"
"16883",2016-12-21,"Jazz","","Dante Exum","patellar tendinitis in left knee (DTD)"
"16884",2016-12-21,"Jazz","","Rodney Hood","flu (DTD)"
"16885",2016-12-21,"Lakers","","Larry Nance Jr.","bone bruise in left knee (DTD)"
"16886",2016-12-21,"Pelicans","","Reggie Williams","placed on IL"
"16887",2016-12-21,"Pelicans","Tyreke Evans","","activated from IL"
"16888",2016-12-22,"Celtics","","Jordan Mickey","placed on IL"
"16889",2016-12-22,"Celtics","James Young","","activated from IL"
"16890",2016-12-22,"Lakers","","Larry Nance Jr.","bone bruise in left knee (DTD)"
"16891",2016-12-22,"Magic","Stephen Zimmerman Jr.","","activated from IL"
"16892",2016-12-22,"Nets","","Isaiah Whitehead","placed on IL with sore left foot"
"16893",2016-12-22,"Nets","Brook Lopez","","activated from IL"
"16894",2016-12-22,"Rockets","","Chinanu Onuaku","placed on IL"
"16895",2016-12-22,"Spurs","","Manu Ginobili","placed on IL for rest"
"16896",2016-12-22,"Spurs","","Nicolas Laprovittola","placed on IL"
"16897",2016-12-22,"Warriors","James McAdoo ","","activated from IL"
"16898",2016-12-22,"Spurs","Bryn Forbes","","activated from IL"
"16899",2016-12-22,"Spurs","Dejounte Murray","","activated from IL"
"16900",2016-12-23,"76ers","","Nik Stauskas","bruised right knee (DTD)"
"16901",2016-12-23,"76ers","","Richaun Holmes","concussion (DTD)"
"16902",2016-12-23,"Bucks","","Rashad Vaughn","placed on IL with sprained left ankle"
"16903",2016-12-23,"Cavaliers","","J.R. Smith","surgery on right thumb to repair fracture (out indefinitely)"
"16904",2016-12-23,"Cavaliers","","J.R. Smith","recovering from surgery on right thumb to repair fracture (out indefinitely)"
"16905",2016-12-23,"Cavaliers","Kevin Love","","returned to lineup"
"16906",2016-12-23,"Clippers","","Chris Paul","strained left hamstring (DTD)"
"16907",2016-12-23,"Hawks","","Kyle Korver","illness (DTD)"
"16908",2016-12-23,"Jazz","Rodney Hood","","returned to lineup"
"16909",2016-12-23,"Kings","Omri Casspi","","returned to lineup"
"16910",2016-12-23,"Lakers","","Larry Nance Jr.","placed on IL with bone bruise in left knee"
"16911",2016-12-23,"Lakers","Jose Calderon","","activated from IL"
"16912",2016-12-23,"Magic","","Evan Fournier","placed on IL with right heel injury"
"16913",2016-12-23,"Magic","C.J. Wilcox","","activated from IL"
"16914",2016-12-23,"Magic","Jodie Meeks","","returned to lineup"
"16915",2016-12-23,"Mavericks","","Jose Barea ","placed on IL with sore left Achilles"
