"","x"
"586",-2
"587",1
"588",1
"589",4
"590",2
"591",11
"592",1
"593",3
"594",6
"595",2
"596",2
"597",-3
"598",6
"599",8
"600",7
"601",1
"602",8
"603",-2
"604",-4
"605",5
"606",3
"607",9
"608",5
"609",-9
"610",1
"611",-1
"612",-5
"613",-1
"614",-1
"615",15
"616",5
"617",1
"618",-4
"619",-7
"620",-7
"621",9
"622",3
"623",-1
"624",2
"625",1
"626",0
"627",3
"628",3
"629",6
"630",0
"631",-5
"632",-3
"633",-4
"634",-7
"635",-1
"636",1
"637",-11
"638",6
"639",-6
"640",-2
"641",3
"642",2
"643",-2
"644",-3
"645",-5
"646",-1
"647",-12
"648",-6
"649",8
"650",-7
"651",-17
"652",-4
"653",1
"654",3
"655",-8
"656",2
"657",-2
"658",0
"659",3
"660",1
"661",-8
"662",4
"663",9
"664",-7
"665",-2
"666",0
"667",2
"668",-3
"669",1
"670",-3
"671",-3
"672",-3
"673",-4
"674",7
"675",4
"676",-1
"677",-1
"678",2
"679",13
"680",4
"681",-6
"682",5
"683",0
"684",1
"685",-1
"686",1
"687",5
"688",-6
"689",1
"690",0
"691",1
"692",-4
"693",-5
"694",1
"695",6
"696",-7
"697",-1
"698",0
"699",-8
"700",5
"701",6
"702",-7
"703",-9
"704",-3
"705",4
"706",3
"707",3
"708",-1
"709",-2
"710",4
"711",-2
"712",0
"713",2
"714",-1
"715",-9
"716",-1
"717",-1
"718",1
"719",-10
"720",-7
"721",3
"722",-3
"723",0
"724",2
"725",-2
"726",6
"727",9
"728",-2
"729",13
"730",1
"731",-13
"732",2
"733",-6
"734",3
"735",-1
"736",2
"737",0
"738",2
"739",5
"740",-5
"741",-2
"742",9
"743",6
"744",-1
"745",-7
"746",-3
"747",3
"748",-10
"749",0
"750",1
"751",2
"752",-3
"753",-8
"754",2
"755",-5
"756",-2
"757",-10
"758",-5
"759",3
"760",-4
"761",-1
"762",8
"763",3
"764",6
"765",0
"766",-2
"767",0
"768",3
"769",-4
"770",6
"771",2
"772",2
"773",-1
"774",0
"775",-6
"776",5
"777",1
"778",3
"779",3
"780",2
"781",-8
"782",1
"783",-3
"784",6
"785",0
"786",1
"787",3
"788",11
"789",9
"790",4
"791",-3
"792",3
"793",-1
"794",4
"795",-6
"796",-5
"797",8
"798",6
"799",12
"800",-2
"801",-8
"802",-1
"803",-8
"804",5
"805",-4
"806",-7
"807",-11
"808",-4
"809",-3
"810",5
"811",4
"812",-7
"813",-1
"814",1
"815",0
"816",8
"817",-2
"818",-5
"819",7
"820",0
"821",-4
"822",2
"823",-5
"824",2
"825",-3
"826",2
"827",2
"828",-6
"829",-5
"830",1
"831",3
"832",2
"833",-1
"834",-6
"835",-5
"836",-4
"837",7
"838",-1
"839",9
"840",-4
"841",-7
"842",-9
"843",0
"844",-1
"845",-3
"846",-1
"847",-2
"848",2
"849",-3
"850",0
"851",-5
"852",0
"853",1
"854",2
"855",-7
"856",7
"857",6
"858",-7
"859",-7
