"","Team","Player","GoneDate","BackDate"
"942","CAVALIERS","J.R. Smith",2017-01-06,2017-03-09
"943","SPURS","Kawhi Leonard",2017-03-08,2017-03-09
"944","SPURS","LaMarcus Aldridge",2017-03-08,2017-03-09
"945","BULLS","Dwyane Wade",2017-03-06,2017-03-10
"946","BULLS","Michael Carter-Williams",2017-02-25,2017-03-10
"947","MAVERICKS","Jose Barea ",2017-01-25,2017-03-10
"948","NUGGETS","Danilo Gallinari",2017-03-08,2017-03-10
"949","NUGGETS","Nikola Jokic",2017-03-06,2017-03-10
"950","RAPTORS","DeMarre Carroll",2017-03-08,2017-03-10
"951","ROCKETS","Kyle Wiltjer",2017-01-08,2017-03-10
"952","ROCKETS","Ryan Anderson",2017-03-08,2017-03-10
"953","TIMBERWOLVES","Brandon Rush",2017-03-08,2017-03-10
"954","KNICKS","Maurice N'dour",2017-03-05,2017-03-10
"955","GRIZZLIES","Chandler Parsons",2017-03-09,2017-03-11
"956","JAZZ","George Hill",2017-03-08,2017-03-11
"957","MAGIC","Nikola Vucevic",2017-03-05,2017-03-11
"958","MAVERICKS","A.J. Hammons",2017-03-05,2017-03-11
"959","SPURS","Manu Ginobili",2017-03-09,2017-03-11
"960","SPURS","Kyle Anderson",2017-03-09,2017-03-11
"961","WARRIORS","Shaun Livingston",2017-03-10,2017-03-11
"962","WIZARDS","Daniel Ochefu",2017-03-03,2017-03-11
"963","PELICANS","Omer Asik",2017-03-03,2017-03-11
"964","WARRIORS","Damian Jones",2017-02-23,2017-03-11
"965","76ERS","Gerald Henderson Jr.",2017-03-11,2017-03-12
"966","BULLS","Isaiah Canaan",2017-03-08,2017-03-12
"967","CELTICS","James Young",2017-03-08,2017-03-12
"968","LAKERS","Ron Artest",2017-02-08,2017-03-12
"969","NETS","Brook Lopez",2017-03-09,2017-03-12
"970","BUCKS","Malcolm Brogdon",2017-03-10,2017-03-13
"971","BUCKS","Mirza Teletovic",2017-03-10,2017-03-13
"972","BULLS","Nikola Mirotic",2017-03-12,2017-03-13
"973","HAWKS","Dwight Howard",2017-03-11,2017-03-13
"974","HORNETS","Frank Kaminsky",2017-03-03,2017-03-13
"975","JAZZ","Rudy Gobert",2017-03-11,2017-03-13
"976","MAVERICKS","Jarrod Uthoff",2017-03-11,2017-03-13
"977","MAVERICKS","Manny Harris",2017-03-11,2017-03-13
"978","SPURS","Kawhi Leonard",2017-03-11,2017-03-13
"979","SPURS","Kawhi Leonard",2017-03-11,2017-03-13
"980","WIZARDS","Sheldon Mac",2017-03-11,2017-03-13
"981","NUGGETS","Malik Beasley",2017-03-10,2017-03-13
"982","76ERS","Robert Covington",2017-03-12,2017-03-14
"983","WARRIORS","Draymond Green",2017-03-11,2017-03-14
"984","WARRIORS","Klay Thompson",2017-03-11,2017-03-14
"985","WARRIORS","Stephen Curry",2017-03-11,2017-03-14
"986","BULLS","Isaiah Canaan",2017-03-13,2017-03-15
"987","HEAT","Goran Dragic",2017-03-12,2017-03-15
"988","KINGS","Tyreke Evans",2017-03-13,2017-03-15
"989","MAVERICKS","Nerlens Noel",2017-03-10,2017-03-15
"990","PACERS","Joe Young",2017-03-08,2017-03-15
"991","PISTONS","Beno Udrih",2017-02-23,2017-03-15
"992","SPURS","LaMarcus Aldridge",2017-03-11,2017-03-15
"993","SUNS","Alex Len",2017-03-12,2017-03-15
"994","TIMBERWOLVES","Adreian Payne",2017-02-03,2017-03-15
"995","WIZARDS","Daniel Ochefu",2017-03-13,2017-03-15
"996","CAVALIERS","Kevin Love",2017-02-14,2017-03-16
"997","CLIPPERS","Wes Johnson",2017-02-24,2017-03-16
"998","HAWKS","Ryan Kelly",2017-03-13,2017-03-16
"999","NUGGETS","Kenneth Faried",2017-02-26,2017-03-16
"1000","RAPTORS","DeMarre Carroll",2017-03-11,2017-03-16
"1001","KNICKS","Maurice N'dour",2017-03-05,2017-03-16
"1002","BULLS","Anthony Morrow",2017-03-10,2017-03-17
"1003","CELTICS","Demetrius Jackson",2017-02-27,2017-03-17
"1004","LAKERS","Timofey Mozgov",2017-03-12,2017-03-17
"1005","MAVERICKS","Wes Matthews Jr.",2017-03-15,2017-03-17
"1006","SUNS","Brandon Knight",2017-03-15,2017-03-17
"1007","WIZARDS","Sheldon Mac",2017-03-15,2017-03-17
"1008","PELICANS","Cheick Diallo",2017-03-11,2017-03-17
"1009","BLAZERS","Evan Turner",2017-02-13,2017-03-18
"1010","BUCKS","Rashad Vaughn",2017-03-15,2017-03-18
"1011","CAVALIERS","Derrick Williams",2017-03-16,2017-03-18
"1012","CLIPPERS","Blake Griffin",2017-03-16,2017-03-18
"1013","CLIPPERS","DeAndre Jordan",2017-03-16,2017-03-18
"1014","HORNETS","Nicolas Batum",2017-03-13,2017-03-18
"1015","KINGS","Malachi Richardson",2017-03-01,2017-03-18
"1016","SPURS"," Tony Parker",2017-03-15,2017-03-18
"1017","TIMBERWOLVES","Lance Stephenson",2017-03-15,2017-03-18
"1018","CAVALIERS","Kay Felder",2017-03-14,2017-03-18
"1019","CAVALIERS","Kevin Love",2017-03-18,2017-03-19
"1020","CAVALIERS","Kyrie Irving",2017-03-18,2017-03-19
"1021","CAVALIERS","LeBron James",2017-03-18,2017-03-19
"1022","PACERS","Lavoy Allen",2017-03-15,2017-03-19
"1023","PELICANS","DeMarcus Cousins",2017-03-17,2017-03-19
"1024","SPURS","Joel Anthony",2017-03-18,2017-03-19
"1025","LAKERS","Tarik Black",2017-03-17,2017-03-19
"1026","76ERS","Justin Anderson",2017-03-19,2017-03-20
"1027","CELTICS","Isaiah Thomas",2017-03-17,2017-03-20
"1028","HAWKS","DeAndre Bembry",2017-03-16,2017-03-20
"1029","HAWKS","Mike Dunleavy Jr.",2017-02-27,2017-03-20
"1030","JAZZ","Rodney Hood",2017-03-16,2017-03-20
"1031","KNICKS","Kristaps Porzingis",2017-03-16,2017-03-20
"1032","MAGIC","Jodie Meeks",2017-01-24,2017-03-20
"1033","WIZARDS","Markieff Morris",2017-03-17,2017-03-20
"1034","BULLS","Cameron Payne",2017-03-15,2017-03-20
"1035","LAKERS","Nick Young",2017-03-19,2017-03-21
"1036","LAKERS","Tarik Black",2017-03-19,2017-03-21
"1037","NETS","Trevor Booker",2017-03-17,2017-03-21
"1038","SPURS","Manu Ginobili",2017-03-19,2017-03-21
"1039","SUNS","Devin Booker",2017-03-19,2017-03-21
"1040","SUNS","Leandro Barbosa",2017-03-17,2017-03-21
"1041","76ERS","Gerald Henderson Jr.",2017-03-20,2017-03-22
"1042","76ERS","Jahlil Okafor",2017-03-20,2017-03-22
"1043","CAVALIERS","Kyle Korver",2017-03-16,2017-03-22
"1044","KINGS","Tyreke Evans",2017-03-18,2017-03-22
"1045","MAGIC","Stephen Zimmerman Jr.",2017-03-20,2017-03-22
"1046","NUGGETS","Darrell Arthur",2017-03-16,2017-03-22
"1047","NUGGETS","Wilson Chandler",2017-03-13,2017-03-22
"1048","BULLS","Cameron Payne",2017-03-15,2017-03-22
"1049","GRIZZLIES","Tony Allen",2017-03-21,2017-03-23
"1050","MAVERICKS","Jarrod Uthoff",2017-03-17,2017-03-23
"1051","NETS","Jeremy Lin",2017-03-21,2017-03-23
"1052","SPURS","David Lee",2017-03-21,2017-03-23
"1053","SUNS","Alan Williams",2017-03-21,2017-03-23
"1054","KINGS","Kosta Koufos",2017-03-22,2017-03-24
"1055","KINGS","Ty Lawson",2017-03-22,2017-03-24
"1056","NUGGETS","Danilo Gallinari",2017-03-16,2017-03-24
"1057","WARRIORS","Andre Iguodala",2017-03-21,2017-03-24
"1058","WIZARDS","Daniel Ochefu",2017-03-20,2017-03-24
"1059","HORNETS","Miles Plumlee",2017-02-28,2017-03-24
"1060","CAVALIERS","Larry Sanders ",2017-03-18,2017-03-25
"1061","KNICKS","Derrick Rose",2017-03-23,2017-03-25
"1062","KNICKS","Maurice N'dour",2017-03-20,2017-03-25
"1063","MAVERICKS","A.J. Hammons",2017-03-13,2017-03-25
"1064","SPURS","Joel Anthony",2017-03-23,2017-03-25
"1065","WIZARDS","Sheldon Mac",2017-03-24,2017-03-25
"1066","CELTICS","Avery Bradley",2017-03-24,2017-03-26
"1067","CLIPPERS","Wes Johnson",2017-03-18,2017-03-26
"1068","LAKERS","Timofey Mozgov",2017-03-19,2017-03-26
"1069","NUGGETS","Mike Miller",2017-03-24,2017-03-26
"1070","PACERS","Joe Young",2017-03-19,2017-03-26
"1071","ROCKETS","Troy Williams",2017-03-10,2017-03-26
"1072","SUNS","T.J. Warren",2017-03-23,2017-03-26
"1073","GRIZZLIES","Wade Baldwin IV",2017-02-01,2017-03-26
"1074","PELICANS","Cheick Diallo",2017-03-11,2017-03-26
"1075","CAVALIERS","Kay Felder",2017-03-22,2017-03-27
"1076","JAZZ","Shelvin Mack",2017-03-05,2017-03-27
"1077","KINGS","Ty Lawson",2017-03-26,2017-03-27
"1078","KNICKS","Carmelo Anthony",2017-03-25,2017-03-27
"1079","MAVERICKS","Jarrod Uthoff",2017-03-25,2017-03-27
"1080","MAVERICKS","Manny Harris",2017-03-23,2017-03-27
"1081","PISTONS","Henry Ellenson",2017-01-23,2017-03-27
"1082","PISTONS","Michael Gbinije",2017-03-19,2017-03-27
"1083","SPURS","Danny Green",2017-03-25,2017-03-27
"1084","CAVALIERS","Iman Shumpert",2017-03-25,2017-03-27
"1085","76ERS","Tiago Splitter",2017-03-26,2017-03-28
"1086","NETS","Sean Kilpatrick",2017-03-18,2017-03-28
"1087","NUGGETS","Roy Hibbert",2017-03-26,2017-03-28
"1088","PACERS","Georges Niang",2017-02-24,2017-03-28
"1089","SUNS","Ronnie Price",2017-03-21,2017-03-28
"1090","WIZARDS","Bojan Bogdanovic",2017-03-25,2017-03-28
"1091","76ERS","Gerald Henderson Jr.",2017-03-28,2017-03-29
"1092","CLIPPERS","J.J. Redick",2017-03-26,2017-03-29
"1093","HAWKS","Kent Bazemore",2017-03-20,2017-03-29
"1094","HORNETS","Miles Plumlee",2017-03-24,2017-03-29
"1095","JAZZ","Gordon Hayward",2017-03-27,2017-03-29
"1096","MAVERICKS","A.J. Hammons",2017-03-27,2017-03-29
"1097","MAVERICKS","Seth Curry",2017-03-27,2017-03-29
"1098","PELICANS","DeMarcus Cousins",2017-03-26,2017-03-29
"1099","RAPTORS","DeMarre Carroll",2017-03-25,2017-03-29
"1100","WIZARDS","Daniel Ochefu",2017-03-28,2017-03-29
"1101","KNICKS","Joakim Noah",2017-02-27,2017-03-29
"1102","KNICKS","Joakim Noah",2017-02-27,2017-03-29
"1103","PACERS","Rodney Stuckey",2017-03-28,2017-03-29
"1104","BULLS","Cristiano Felicio",2017-03-22,2017-03-30
"1105","CAVALIERS","Iman Shumpert",2017-03-27,2017-03-30
"1106","NETS","Andrew Nicholson",2017-03-28,2017-03-30
"1107","ROCKETS","Chinanu Onuaku",2017-01-15,2017-03-30
"1108","SUNS","Devin Booker",2017-03-28,2017-03-30
"1109","BUCKS","Michael Beasley",2017-03-01,2017-03-31
"1110","GRIZZLIES","Jarell Martin",2017-01-27,2017-03-31
"1111","MAVERICKS","Salah Mejri",2017-03-29,2017-03-31
"1112","NUGGETS","Malik Beasley",2017-03-22,2017-03-31
"1113","NUGGETS","Mike Miller",2017-03-28,2017-03-31
"1114","THUNDER","Kyle Singler",2017-03-07,2017-03-31
"1115","WIZARDS","Sheldon Mac",2017-03-29,2017-03-31
"1116","HAWKS","Mike Dunleavy Jr.",2017-03-29,2017-04-01
"1117","LAKERS","Brandon Ingram",2017-03-26,2017-04-01
"1118","CAVALIERS","Richard Jefferson",2017-03-30,2017-04-02
"1119","HAWKS","Paul Millsap",2017-03-20,2017-04-02
"1120","LAKERS","Luol Deng",2017-03-07,2017-04-02
"1121","MAVERICKS","A.J. Hammons",2017-03-31,2017-04-02
"1122","NETS","Quincy Acy",2017-03-30,2017-04-02
"1123","PELICANS","Alex Ajinca",2017-03-31,2017-04-02
"1124","RAPTORS","Bruno Caboclo",2017-01-29,2017-04-02
"1125","SPURS","Joel Anthony",2017-03-27,2017-04-02
"1126","SUNS","Dragan Bender",2017-02-08,2017-04-02
"1127","THUNDER","Taj Gibson",2017-03-31,2017-04-02
"1128","WARRIORS","Patrick McCaw",2017-03-31,2017-04-02
"1129","WIZARDS","Daniel Ochefu",2017-03-31,2017-04-02
"1130","CAVALIERS","Larry Sanders ",2017-03-27,2017-04-02
"1131","NUGGETS","Malik Beasley",2017-03-22,2017-04-02
"1132","ROCKETS","Troy Williams",2017-03-31,2017-04-02
"1133","ROCKETS","Isaiah Taylor",2017-03-01,2017-04-02
"1134","CAVALIERS","Kyle Korver",2017-03-27,2017-04-04
"1135","GRIZZLIES","Andrew Harrison",2017-03-31,2017-04-04
"1136","GRIZZLIES","JaMychal Green",2017-03-29,2017-04-04
"1137","GRIZZLIES","Marc Gasol",2017-03-26,2017-04-04
"1138","GRIZZLIES","Tony Allen",2017-03-21,2017-04-04
"1139","KNICKS","Carmelo Anthony",2017-03-31,2017-04-04
"1140","NETS","Andrew Nicholson",2017-04-02,2017-04-04
"1141","RAPTORS","P.J. Tucker",2017-04-02,2017-04-04
"1142","SPURS","LaMarcus Aldridge",2017-04-02,2017-04-04
"1143","WARRIORS","Kevon Looney",2017-03-29,2017-04-04
"1144","BLAZERS","Jusuf Nurkic",2017-04-01,2017-04-04
"1145","CAVALIERS","Larry Sanders ",2017-04-04,2017-04-05
"1146","CELTICS","Avery Bradley",2017-03-31,2017-04-05
"1147","CLIPPERS","Wes Johnson",2017-03-29,2017-04-05
"1148","LAKERS","Tarik Black",2017-04-02,2017-04-05
"1149","MAVERICKS","Dirk Nowitzki",2017-04-04,2017-04-05
"1150","MAVERICKS","Wes Matthews Jr.",2017-04-04,2017-04-05
"1151","NUGGETS","Darrell Arthur",2017-04-02,2017-04-05
"1152","NUGGETS","Jameer Nelson",2017-04-02,2017-04-05
"1153","PISTONS","Reggie Bullock",2017-03-27,2017-04-05
"1154","RAPTORS","Kyle Lowry",2017-02-27,2017-04-05
"1155","ROCKETS","James Harden",2017-04-02,2017-04-05
"1156","SUNS","T.J. Warren",2017-04-02,2017-04-05
"1157","THUNDER","Kyle Singler",2017-04-02,2017-04-05
"1158","CELTICS","Jordan Mickey",2017-03-12,2017-04-05
"1159","BLAZERS","Tim Quarterman",2017-04-04,2017-04-06
"1160","BULLS","Cameron Payne",2017-03-30,2017-04-06
"1161","HAWKS","Malcolm Delaney",2017-04-02,2017-04-06
"1162","NETS","Isaiah Whitehead",2017-04-04,2017-04-06
"1163","PACERS","Al Jefferson",2017-03-27,2017-04-06
"1164","WIZARDS","Chris McCullough",2017-03-03,2017-04-06
"1165","KNICKS","Kristaps Porzingis",2017-04-04,2017-04-06
"1166","GRIZZLIES","Mike Conley Jr.",2017-04-05,2017-04-07
"1167","HAWKS","Kris Humphries",2017-04-06,2017-04-07
"1168","JAZZ","Derrick Favors",2017-03-08,2017-04-07
"1169","JAZZ","Rodney Hood",2017-04-04,2017-04-07
"1170","KINGS","Anthony Tolliver",2017-04-04,2017-04-07
"1171","KINGS","Arron Afflalo",2017-04-04,2017-04-07
"1172","KINGS","Darren Collison",2017-04-04,2017-04-07
"1173","KNICKS","Chasson Randle",2017-04-06,2017-04-07
"1174","LAKERS","D'Angelo Russell",2017-04-05,2017-04-07
"1175","MAGIC","Evan Fournier",2017-04-06,2017-04-07
"1176","NUGGETS","Malik Beasley",2017-04-05,2017-04-07
"1177","ROCKETS","Chinanu Onuaku",2017-04-05,2017-04-07
"1178","ROCKETS","Ryan Anderson",2017-03-26,2017-04-07
"1179","SUNS","Brandon Knight",2017-04-05,2017-04-07
"1180","BUCKS","Jabari Parker",2017-02-15,2017-04-08
"1181","BULLS","Dwyane Wade",2017-03-17,2017-04-08
"1182","JAZZ","Raul Neto",2017-04-07,2017-04-08
"1183","SPURS"," Tony Parker",2017-04-07,2017-04-08
"1184","SPURS","Manu Ginobili",2017-04-07,2017-04-08
"1185","SPURS","Kawhi Leonard",2017-04-07,2017-04-08
"1186","SPURS","LaMarcus Aldridge",2017-04-07,2017-04-08
"1187","SPURS","Pau Gasol",2017-04-07,2017-04-08
"1188","WARRIORS","Kevin Durant",2017-03-02,2017-04-08
"1189","WIZARDS","Chris McCullough",2017-03-03,2017-04-08
"1190","WIZARDS","Markieff Morris",2017-04-06,2017-04-08
"1191","GRIZZLIES","Jarell Martin",2017-04-07,2017-04-09
"1192","HAWKS","Dennis Schroder",2017-04-07,2017-04-09
"1193","HAWKS","Paul Millsap",2017-04-07,2017-04-09
"1194","KINGS","Garrett Temple",2017-04-07,2017-04-09
"1195","KINGS","Ty Lawson",2017-04-04,2017-04-09
"1196","NUGGETS","Will Barton",2017-03-31,2017-04-09
"1197","ROCKETS","Clint Capela",2017-04-07,2017-04-09
"1198","THUNDER","Andre Roberson",2017-04-07,2017-04-09
"1199","BUCKS","John Henson",2017-03-31,2017-04-10
"1200","BUCKS","Malcolm Brogdon",2017-04-08,2017-04-10
"1201","CELTICS","Amir Johnson",2017-04-08,2017-04-10
"1202","CELTICS","James Young",2017-04-08,2017-04-10
"1203","HORNETS","Johnny O'Bryant III",2017-03-24,2017-04-10
"1204","JAZZ","George Hill",2017-03-29,2017-04-10
"1205","JAZZ","Joel Bolomboy",2017-04-08,2017-04-10
"1206","PISTONS","Michael Gbinije",2017-04-05,2017-04-10
"1207","ROCKETS","Trevor Ariza",2017-04-09,2017-04-10
"1208","SPURS","Danny Green",2017-04-02,2017-04-10
"1209","WARRIORS","Stephen Curry",2017-04-08,2017-04-10
"1210","HEAT","Josh McRoberts",2017-01-04,2017-04-10
"1211","CAVALIERS","Kay Felder",2017-04-02,2017-04-10
"1212","HAWKS","Kris Humphries",2017-04-09,2017-04-11
"1213","HAWKS","Thabo Sefolosha",2017-04-01,2017-04-11
"1214","LAKERS","Luol Deng",2017-04-07,2017-04-11
"1215","MAVERICKS","Jose Barea ",2017-04-09,2017-04-11
"1216","NUGGETS","Darrell Arthur",2017-04-02,2017-04-11
"1217","THUNDER","Alex Abrines",2017-04-05,2017-04-11
"1218","NUGGETS","Kenneth Faried",2017-04-09,2017-04-11
"1219","BUCKS","Spencer Hawes",2017-04-10,2017-04-12
"1220","BULLS","Rajon Rondo",2017-04-06,2017-04-12
"1221","CAVALIERS","Tristan Thompson",2017-04-05,2017-04-12
"1222","GRIZZLIES","Zach Randolph",2017-04-09,2017-04-12
"1223","HAWKS","DeAndre Bembry",2017-04-11,2017-04-12
"1224","HAWKS","Ryan Kelly",2017-04-09,2017-04-12
"1225","JAZZ","Derrick Favors",2017-04-10,2017-04-12
"1226","JAZZ","Gordon Hayward",2017-04-10,2017-04-12
"1227","JAZZ","Rodney Hood",2017-04-09,2017-04-12
"1228","KINGS","Arron Afflalo",2017-04-11,2017-04-12
"1229","KNICKS","Carmelo Anthony",2017-04-07,2017-04-12
"1230","MAGIC","Jeff Green",2017-03-22,2017-04-12
"1231","MAGIC","Stephen Zimmerman Jr.",2017-04-08,2017-04-12
"1232","ROCKETS","Kyle Wiltjer",2017-04-10,2017-04-12
"1233","ROCKETS","Nene Hilario ",2017-04-09,2017-04-12
"1234","ROCKETS","Patrick Beverley",2017-04-10,2017-04-12
"1235","SPURS","Dejounte Murray",2017-03-13,2017-04-12
"1236","THUNDER","Josh Huestis",2017-02-28,2017-04-12
"1237","WARRIORS","Damian Jones",2017-03-14,2017-04-12
"1238","WARRIORS","Klay Thompson",2017-04-10,2017-04-12
"1239","WIZARDS","Otto Porter Jr.",2017-04-08,2017-04-12
"1240","WIZARDS","Sheldon Mac",2017-04-08,2017-04-12
"1241","KINGS","Darren Collison",2017-04-11,2017-04-12
"1242","PISTONS","Beno Udrih",2017-04-10,2017-04-12
"1243","WIZARDS","John Wall ",2017-04-10,2017-04-12
"1244","RAPTORS","Bruno Caboclo",2017-04-04,2017-04-12
"1245","RAPTORS","Pascal Siakam",2017-04-05,2017-04-12
"1246","BUCKS","Giannis Antetokounmpo",2017-04-12,2017-04-15
"1247","BUCKS","Khris Middleton",2017-04-12,2017-04-15
"1248","BUCKS","Tony Snell",2017-04-12,2017-04-15
"1249","CAVALIERS","Kevin Love",2017-04-12,2017-04-15
"1250","CAVALIERS","Kyrie Irving",2017-04-10,2017-04-15
"1251","BLAZERS","Al-Farouq Aminu",2017-04-12,2017-04-16
"1252","BLAZERS","Allen Crabbe",2017-04-08,2017-04-16
"1253","BLAZERS","C.J. McCollum",2017-04-12,2017-04-16
"1254","BLAZERS","Damian Lillard",2017-04-12,2017-04-16
"1255","HAWKS","Dennis Schroder",2017-04-12,2017-04-16
"1256","THUNDER","Doug McDermott",2017-04-11,2017-04-16
"1257","WIZARDS","Bradley Beal",2017-04-12,2017-04-16
"1258","WIZARDS","John Wall ",2017-04-12,2017-04-16
"1259","WIZARDS","Markieff Morris",2017-04-12,2017-04-16
"1260","WIZARDS","Sheldon Mac",2017-04-14,2017-04-16
"1261","JAZZ","Joel Bolomboy",2017-04-15,2017-04-18
"1262","JAZZ","Raul Neto",2017-04-15,2017-04-18
"1263","BLAZERS","Tim Quarterman",2017-04-16,2017-04-19
"1264","THUNDER","Kyle Singler",2017-04-16,2017-04-19
"1265","SPURS","Dejounte Murray",2017-04-15,2017-04-20
"1266","BULLS","Cameron Payne",2017-04-16,2017-04-21
"1267","THUNDER","Norris Cole ",2017-04-19,2017-04-21
"1268","BLAZERS","Jusuf Nurkic",2017-04-06,2017-04-22
"1269","GRIZZLIES","James Ennis",2017-04-12,2017-04-22
"1270","SPURS","Joel Anthony",2017-04-15,2017-04-22
"1271","BULLS","Isaiah Canaan",2017-04-16,2017-04-23
"1272","CLIPPERS","Diamond Stone",2017-04-15,2017-04-23
"1273","JAZZ","Rudy Gobert",2017-04-18,2017-04-23
"1274","JAZZ","Gordon Hayward",2017-04-23,2017-04-24
"1275","WARRIORS","Kevin Durant",2017-04-19,2017-04-24
"1276","CLIPPERS","Austin Rivers",2017-04-15,2017-04-25
"1277","SPURS","Dewayne Dedmon",2017-04-22,2017-04-25
"1278","JAZZ","Jeff Withey",2017-04-23,2017-04-28
"1279","RAPTORS","Pascal Siakam",2017-04-15,2017-05-01
"1280","ROCKETS","Kyle Wiltjer",2017-04-16,2017-05-01
"1281","ROCKETS","Sam Dekker",2017-04-05,2017-05-01
"1282","JAZZ","Joel Bolomboy",2017-04-28,2017-05-02
"1283","WARRIORS","Matt Barnes",2017-04-16,2017-05-02
"1284","WARRIORS","Shaun Livingston",2017-04-19,2017-05-02
"1285","JAZZ","Jeff Withey",2017-05-02,2017-05-04
"1286","WIZARDS","Ian Mahinmi",2017-04-12,2017-05-04
"1287","RAPTORS","Pascal Siakam",2017-04-15,2017-05-05
"1288","ROCKETS","Kyle Wiltjer",2017-04-16,2017-05-05
"1289","SPURS","Bryn Forbes",2017-04-20,2017-05-05
"1290","RAPTORS","Kyle Lowry",2017-05-05,2017-05-07
"1291","RAPTORS","Lucas Nogueira",2017-05-05,2017-05-07
"1292","ROCKETS","Chinanu Onuaku",2017-04-16,2017-05-09
"1293","ROCKETS","Kyle Wiltjer",2017-04-16,2017-05-09
"1294","ROCKETS","Isaiah Taylor",2017-05-09,2017-05-11
"1295","SPURS","Joel Anthony",2017-04-25,2017-05-11
"1296","SPURS","Kawhi Leonard",2017-05-11,2017-05-14
"1297","SPURS","Joel Anthony",2017-04-25,2017-05-16
"1298","WARRIORS","Damian Jones",2017-05-02,2017-05-16
"1299","CELTICS","Jordan Mickey",2017-04-16,2017-05-19
"1300","WARRIORS","Andre Iguodala",2017-05-16,2017-05-20
"1301","CELTICS","James Young",2017-05-19,2017-05-21
"1302","SPURS","Kawhi Leonard",2017-05-16,2017-05-22
"1303","WARRIORS","Zaza Pachulia",2017-05-20,2017-06-01
