"","Date_of_game","Team1","Team2","Pointspread","Score1","Score2","scorediff","Location"
"655","2016-12-30","DENVER NUGGETS","PHILADELPHIA 76ERS",-10.5,122,124,-2,"H"
"656","2017-01-02","DENVER NUGGETS","GOLDEN STATE WARRIORS",15.5,119,127,-8,"V"
"657","2017-01-03","DENVER NUGGETS","SACRAMENTO KINGS",-3.5,113,120,-7,"H"
"658","2017-01-05","DENVER NUGGETS","SAN ANTONIO SPURS",7.5,99,127,-28,"H"
"659","2017-01-07","DENVER NUGGETS","OKLAHOMA CITY THUNDER",7,106,121,-15,"V"
"660","2017-01-12","DENVER NUGGETS","INDIANA PACERS",4.5,140,112,28,"N"
"661","2017-01-16","DENVER NUGGETS","ORLANDO MAGIC",-5.5,125,112,13,"H"
"662","2017-01-17","DENVER NUGGETS","LOS ANGELES LAKERS",-1,127,121,6,"V"
"663","2017-01-19","DENVER NUGGETS","SAN ANTONIO SPURS",12,104,118,-14,"V"
"664","2017-01-21","DENVER NUGGETS","LOS ANGELES CLIPPERS",-5,123,98,25,"H"
"665","2017-01-22","DENVER NUGGETS","MINNESOTA TIMBERWOLVES",3.5,108,111,-3,"V"
"666","2017-01-24","DENVER NUGGETS","UTAH JAZZ",-2,103,93,10,"H"
"667","2017-01-26","DENVER NUGGETS","PHOENIX SUNS",-6.5,127,120,7,"H"
"668","2017-01-28","DENVER NUGGETS","PHOENIX SUNS",3.5,123,112,11,"V"
"669","2017-01-31","DENVER NUGGETS","LOS ANGELES LAKERS",-2,116,120,-4,"V"
"670","2017-02-01","DENVER NUGGETS","MEMPHIS GRIZZLIES",3.5,99,119,-20,"H"
"671","2017-02-03","DENVER NUGGETS","MILWAUKEE BUCKS",-3.5,121,117,4,"H"
"672","2017-02-04","DENVER NUGGETS","SAN ANTONIO SPURS",13,97,121,-24,"V"
"673","2017-02-06","DENVER NUGGETS","DALLAS MAVERICKS",-3,110,87,23,"H"
"674","2017-02-08","DENVER NUGGETS","ATLANTA HAWKS",4,106,117,-11,"V"
"675","2017-02-10","DENVER NUGGETS","NEW YORK KNICKS",1.5,131,123,8,"V"
"676","2017-02-11","DENVER NUGGETS","CLEVELAND CAVALIERS",11.5,109,125,-16,"V"
"677","2017-02-13","DENVER NUGGETS","GOLDEN STATE WARRIORS",12,132,110,22,"H"
"678","2017-02-15","DENVER NUGGETS","MINNESOTA TIMBERWOLVES",-6,99,112,-13,"H"
"679","2017-02-23","DENVER NUGGETS","SACRAMENTO KINGS",-7,100,116,-16,"V"
"680","2017-02-24","DENVER NUGGETS","BROOKLYN NETS",-10,129,109,20,"H"
"681","2017-02-26","DENVER NUGGETS","MEMPHIS GRIZZLIES",-2,98,105,-7,"H"
"682","2017-02-28","DENVER NUGGETS","CHICAGO BULLS",2.5,125,107,18,"V"
"683","2017-03-01","DENVER NUGGETS","MILWAUKEE BUCKS",3.5,110,98,12,"V"
"684","2017-03-04","DENVER NUGGETS","CHARLOTTE HORNETS",-5.5,102,112,-10,"H"
"685","2017-03-06","DENVER NUGGETS","SACRAMENTO KINGS",-12,108,96,12,"H"
"686","2017-03-08","DENVER NUGGETS","WASHINGTON WIZARDS",1.5,113,123,-10,"H"
"687","2017-03-10","DENVER NUGGETS","BOSTON CELTICS",2.5,119,99,20,"H"
"688","2017-03-11","DENVER NUGGETS","SACRAMENTO KINGS",-5.5,105,92,13,"V"
"689","2017-03-13","DENVER NUGGETS","LOS ANGELES LAKERS",-13,129,101,28,"H"
"690","2017-03-16","DENVER NUGGETS","LOS ANGELES CLIPPERS",-5,129,114,15,"H"
"691","2017-03-18","DENVER NUGGETS","HOUSTON ROCKETS",2.5,105,109,-4,"H"
"692","2017-03-20","DENVER NUGGETS","HOUSTON ROCKETS",8,124,125,-1,"V"
"693","2017-03-22","DENVER NUGGETS","CLEVELAND CAVALIERS",3,126,113,13,"H"
"694","2017-03-24","DENVER NUGGETS","INDIANA PACERS",1.5,125,117,8,"V"
"695","2017-03-26","DENVER NUGGETS","NEW ORLEANS PELICANS",-7.5,90,115,-25,"H"
"696","2017-03-28","DENVER NUGGETS","PORTLAND TRAIL BLAZERS",1.5,113,122,-9,"V"
"697","2017-03-31","DENVER NUGGETS","CHARLOTTE HORNETS",2,114,122,-8,"V"
"698","2017-04-02","DENVER NUGGETS","MIAMI HEAT",3.5,116,113,3,"V"
"699","2017-04-04","DENVER NUGGETS","NEW ORLEANS PELICANS",3,134,131,3,"V"
"700","2017-04-05","DENVER NUGGETS","HOUSTON ROCKETS",8,104,110,-6,"V"
"701","2017-04-07","DENVER NUGGETS","NEW ORLEANS PELICANS",-6.5,122,106,16,"H"
"702","2017-04-09","DENVER NUGGETS","OKLAHOMA CITY THUNDER",-4.5,105,106,-1,"H"
"703","2017-04-11","DENVER NUGGETS","DALLAS MAVERICKS",2.5,109,91,18,"V"
"704","2017-04-12","DENVER NUGGETS","OKLAHOMA CITY THUNDER",5,111,105,6,"V"
"705","2016-10-26","DETROIT PISTONS","TORONTO RAPTORS",7,91,109,-18,"V"
"706","2016-10-28","DETROIT PISTONS","ORLANDO MAGIC",-4,108,82,26,"H"
"707","2016-10-30","DETROIT PISTONS","MILWAUKEE BUCKS",-7.5,98,83,15,"H"
"708","2016-11-01","DETROIT PISTONS","NEW YORK KNICKS",-4,102,89,13,"H"
"709","2016-11-02","DETROIT PISTONS","BROOKLYN NETS",-4,101,109,-8,"V"
"710","2016-11-05","DETROIT PISTONS","DENVER NUGGETS",-4.5,103,86,17,"H"
"711","2016-11-07","DETROIT PISTONS","LOS ANGELES CLIPPERS",8.5,82,114,-32,"V"
"712","2016-11-09","DETROIT PISTONS","PHOENIX SUNS",-4.5,100,107,-7,"V"
"713","2016-11-11","DETROIT PISTONS","SAN ANTONIO SPURS",9,86,96,-10,"V"
"714","2016-11-12","DETROIT PISTONS","DENVER NUGGETS",5.5,106,95,11,"V"
"715","2016-11-14","DETROIT PISTONS","OKLAHOMA CITY THUNDER",1.5,104,88,16,"H"
"716","2016-11-16","DETROIT PISTONS","NEW YORK KNICKS",1.5,102,105,-3,"V"
"717","2016-11-18","DETROIT PISTONS","CLEVELAND CAVALIERS",8.5,81,104,-23,"V"
"718","2016-11-19","DETROIT PISTONS","BOSTON CELTICS",-2,92,94,-2,"H"
"719","2016-11-21","DETROIT PISTONS","HOUSTON ROCKETS",2.5,96,99,-3,"H"
"720","2016-11-23","DETROIT PISTONS","MIAMI HEAT",-4.5,107,84,23,"H"
"721","2016-11-25","DETROIT PISTONS","LOS ANGELES CLIPPERS",6.5,108,97,11,"H"
"722","2016-11-26","DETROIT PISTONS","OKLAHOMA CITY THUNDER",4.5,88,106,-18,"V"
"723","2016-11-29","DETROIT PISTONS","CHARLOTTE HORNETS",3.5,112,89,23,"V"
"724","2016-11-30","DETROIT PISTONS","BOSTON CELTICS",6.5,121,114,7,"V"
"725","2016-12-02","DETROIT PISTONS","ATLANTA HAWKS",2.5,121,85,36,"V"
"726","2016-12-04","DETROIT PISTONS","ORLANDO MAGIC",-7.5,92,98,-6,"H"
"727","2016-12-06","DETROIT PISTONS","CHICAGO BULLS",-5.5,102,91,11,"H"
"728","2016-12-07","DETROIT PISTONS","CHARLOTTE HORNETS",5.5,77,87,-10,"V"
"729","2016-12-09","DETROIT PISTONS","MINNESOTA TIMBERWOLVES",-3.5,117,90,27,"V"
"730","2016-12-11","DETROIT PISTONS","PHILADELPHIA 76ERS",-12,79,97,-18,"H"
"731","2016-12-14","DETROIT PISTONS","DALLAS MAVERICKS",-5.5,95,85,10,"V"
"732","2016-12-16","DETROIT PISTONS","WASHINGTON WIZARDS",-1.5,108,122,-14,"V"
"733","2016-12-17","DETROIT PISTONS","INDIANA PACERS",-4.5,90,105,-15,"H"
"734","2016-12-19","DETROIT PISTONS","CHICAGO BULLS",2.5,82,113,-31,"V"
"735","2016-12-21","DETROIT PISTONS","MEMPHIS GRIZZLIES",-6,86,98,-12,"H"
"736","2016-12-23","DETROIT PISTONS","GOLDEN STATE WARRIORS",7.5,113,119,-6,"H"
"737","2016-12-26","DETROIT PISTONS","CLEVELAND CAVALIERS",-5,106,90,16,"H"
"738","2016-12-28","DETROIT PISTONS","MILWAUKEE BUCKS",-3.5,94,119,-25,"H"
"739","2016-12-30","DETROIT PISTONS","ATLANTA HAWKS",2.5,98,105,-7,"V"
"740","2017-01-01","DETROIT PISTONS","MIAMI HEAT",-6.5,107,98,9,"V"
"741","2017-01-03","DETROIT PISTONS","INDIANA PACERS",-5,116,121,-5,"H"
"742","2017-01-05","DETROIT PISTONS","CHARLOTTE HORNETS",-4.5,115,114,1,"H"
"743","2017-01-08","DETROIT PISTONS","PORTLAND TRAIL BLAZERS",3.5,125,124,1,"V"
"744","2017-01-10","DETROIT PISTONS","SACRAMENTO KINGS",2.5,94,100,-6,"V"
"745","2017-01-12","DETROIT PISTONS","GOLDEN STATE WARRIORS",13,107,127,-20,"V"
"746","2017-01-13","DETROIT PISTONS","UTAH JAZZ",10.5,77,110,-33,"V"
"747","2017-01-15","DETROIT PISTONS","LOS ANGELES LAKERS",-2,102,97,5,"V"
"748","2017-01-18","DETROIT PISTONS","ATLANTA HAWKS",2,118,95,23,"H"
"749","2017-01-21","DETROIT PISTONS","WASHINGTON WIZARDS",-2,113,112,1,"H"
"750","2017-01-23","DETROIT PISTONS","SACRAMENTO KINGS",-6.5,104,109,-5,"H"
"751","2017-01-28","DETROIT PISTONS","MIAMI HEAT",-3,103,116,-13,"V"
"752","2017-01-30","DETROIT PISTONS","BOSTON CELTICS",5.5,109,113,-4,"V"
"753","2017-02-01","DETROIT PISTONS","NEW ORLEANS PELICANS",-7,118,98,20,"H"
"754","2017-02-03","DETROIT PISTONS","MINNESOTA TIMBERWOLVES",-4.5,116,108,8,"H"
"755","2017-02-04","DETROIT PISTONS","INDIANA PACERS",3,84,105,-21,"V"
"756","2017-02-06","DETROIT PISTONS","PHILADELPHIA 76ERS",-9,113,96,17,"H"
"757","2017-02-08","DETROIT PISTONS","LOS ANGELES LAKERS",-6.5,121,102,19,"H"
"758","2017-02-10","DETROIT PISTONS","SAN ANTONIO SPURS",5,92,103,-11,"H"
"759","2017-02-12","DETROIT PISTONS","TORONTO RAPTORS",6.5,102,101,1,"V"
"760","2017-02-13","DETROIT PISTONS","MILWAUKEE BUCKS",3,89,102,-13,"V"
"761","2017-02-15","DETROIT PISTONS","DALLAS MAVERICKS",-4.5,98,91,7,"H"
"762","2017-02-23","DETROIT PISTONS","CHARLOTTE HORNETS",-4.5,114,108,6,"H"
"763","2017-02-26","DETROIT PISTONS","BOSTON CELTICS",2,98,104,-6,"H"
"764","2017-02-28","DETROIT PISTONS","PORTLAND TRAIL BLAZERS",-4,120,113,7,"H"
"765","2017-03-01","DETROIT PISTONS","NEW ORLEANS PELICANS",2.5,86,109,-23,"V"
"766","2017-03-04","DETROIT PISTONS","PHILADELPHIA 76ERS",-5,136,106,30,"V"
"767","2017-03-06","DETROIT PISTONS","CHICAGO BULLS",-5.5,109,95,14,"H"
"768","2017-03-08","DETROIT PISTONS","INDIANA PACERS",4,98,115,-17,"V"
"769","2017-03-09","DETROIT PISTONS","CLEVELAND CAVALIERS",4.5,106,101,5,"H"
"770","2017-03-11","DETROIT PISTONS","NEW YORK KNICKS",-6.5,112,92,20,"H"
"771","2017-03-14","DETROIT PISTONS","CLEVELAND CAVALIERS",7.5,96,128,-32,"V"
"772","2017-03-15","DETROIT PISTONS","UTAH JAZZ",3,83,97,-14,"H"
"773","2017-03-17","DETROIT PISTONS","TORONTO RAPTORS",-3.5,75,87,-12,"H"
"774","2017-03-19","DETROIT PISTONS","PHOENIX SUNS",-12,112,95,17,"H"
"775","2017-03-21","DETROIT PISTONS","BROOKLYN NETS",-5.5,96,98,-2,"V"
"776","2017-03-22","DETROIT PISTONS","CHICAGO BULLS",-1.5,95,117,-22,"V"
"777","2017-03-24","DETROIT PISTONS","ORLANDO MAGIC",-2.5,87,115,-28,"V"
"778","2017-03-27","DETROIT PISTONS","NEW YORK KNICKS",-1.5,95,109,-14,"V"
"779","2017-03-28","DETROIT PISTONS","MIAMI HEAT",3,96,97,-1,"H"
"780","2017-03-30","DETROIT PISTONS","BROOKLYN NETS",-6.5,90,89,1,"H"
"781","2017-03-31","DETROIT PISTONS","MILWAUKEE BUCKS",7,105,108,-3,"V"
"782","2017-04-05","DETROIT PISTONS","TORONTO RAPTORS",2,102,105,-3,"H"
"783","2017-04-07","DETROIT PISTONS","HOUSTON ROCKETS",11,114,109,5,"V"
"784","2017-04-09","DETROIT PISTONS","MEMPHIS GRIZZLIES",5.5,103,90,13,"V"
"785","2017-04-10","DETROIT PISTONS","WASHINGTON WIZARDS",-5,101,105,-4,"H"
"786","2017-04-12","DETROIT PISTONS","ORLANDO MAGIC",2,109,113,-4,"V"
"787","2016-10-25","GOLDEN STATE WARRIORS","SAN ANTONIO SPURS",-8.5,100,129,-29,"H"
"788","2016-10-28","GOLDEN STATE WARRIORS","NEW ORLEANS PELICANS",-11.5,122,114,8,"V"
"789","2016-10-30","GOLDEN STATE WARRIORS","PHOENIX SUNS",-12,106,100,6,"V"
"790","2016-11-01","GOLDEN STATE WARRIORS","PORTLAND TRAIL BLAZERS",-5,127,104,23,"V"
"791","2016-11-03","GOLDEN STATE WARRIORS","OKLAHOMA CITY THUNDER",-11.5,122,96,26,"H"
"792","2016-11-04","GOLDEN STATE WARRIORS","LOS ANGELES LAKERS",-11,97,117,-20,"V"
"793","2016-11-07","GOLDEN STATE WARRIORS","NEW ORLEANS PELICANS",-17,116,106,10,"H"
"794","2016-11-09","GOLDEN STATE WARRIORS","DALLAS MAVERICKS",-16,116,95,21,"H"
"795","2016-11-10","GOLDEN STATE WARRIORS","DENVER NUGGETS",-6.5,125,101,24,"V"
"796","2016-11-13","GOLDEN STATE WARRIORS","PHOENIX SUNS",-16.5,133,120,13,"H"
"797","2016-11-16","GOLDEN STATE WARRIORS","TORONTO RAPTORS",-6,127,121,6,"V"
"798","2016-11-18","GOLDEN STATE WARRIORS","BOSTON CELTICS",-8.5,104,88,16,"V"
"799","2016-11-19","GOLDEN STATE WARRIORS","MILWAUKEE BUCKS",-8.5,124,121,3,"V"
"800","2016-11-21","GOLDEN STATE WARRIORS","INDIANA PACERS",-14.5,120,83,37,"V"
"801","2016-11-23","GOLDEN STATE WARRIORS","LOS ANGELES LAKERS",-17.5,149,106,43,"H"
"802","2016-11-25","GOLDEN STATE WARRIORS","LOS ANGELES LAKERS",-13.5,109,85,24,"V"
"803","2016-11-26","GOLDEN STATE WARRIORS","MINNESOTA TIMBERWOLVES",-14,115,102,13,"H"
"804","2016-11-28","GOLDEN STATE WARRIORS","ATLANTA HAWKS",-14,105,100,5,"H"
"805","2016-12-01","GOLDEN STATE WARRIORS","HOUSTON ROCKETS",-10.5,127,132,-5,"H"
"806","2016-12-03","GOLDEN STATE WARRIORS","PHOENIX SUNS",-16.5,138,109,29,"H"
"807","2016-12-05","GOLDEN STATE WARRIORS","INDIANA PACERS",-14.5,142,106,36,"H"
"808","2016-12-07","GOLDEN STATE WARRIORS","LOS ANGELES CLIPPERS",-3.5,115,98,17,"V"
"809","2016-12-08","GOLDEN STATE WARRIORS","UTAH JAZZ",-11,106,99,7,"V"
"810","2016-12-10","GOLDEN STATE WARRIORS","MEMPHIS GRIZZLIES",-12.5,89,110,-21,"V"
"811","2016-12-11","GOLDEN STATE WARRIORS","MINNESOTA TIMBERWOLVES",-10.5,116,108,8,"V"
"812","2016-12-13","GOLDEN STATE WARRIORS","NEW ORLEANS PELICANS",-11,113,109,4,"V"
"813","2016-12-15","GOLDEN STATE WARRIORS","NEW YORK KNICKS",-17,103,90,13,"H"
"814","2016-12-17","GOLDEN STATE WARRIORS","PORTLAND TRAIL BLAZERS",-14,135,90,45,"H"
"815","2016-12-20","GOLDEN STATE WARRIORS","UTAH JAZZ",-12,104,74,30,"H"
"816","2016-12-22","GOLDEN STATE WARRIORS","BROOKLYN NETS",-15.5,117,101,16,"V"
"817","2016-12-23","GOLDEN STATE WARRIORS","DETROIT PISTONS",-7.5,119,113,6,"V"
"818","2016-12-25","GOLDEN STATE WARRIORS","CLEVELAND CAVALIERS",-3,108,109,-1,"V"
"819","2016-12-28","GOLDEN STATE WARRIORS","TORONTO RAPTORS",-9.5,121,111,10,"H"
"820","2016-12-30","GOLDEN STATE WARRIORS","DALLAS MAVERICKS",-18,108,99,9,"H"
"821","2017-01-02","GOLDEN STATE WARRIORS","DENVER NUGGETS",-15.5,127,119,8,"H"
"822","2017-01-04","GOLDEN STATE WARRIORS","PORTLAND TRAIL BLAZERS",-16,125,117,8,"H"
"823","2017-01-06","GOLDEN STATE WARRIORS","MEMPHIS GRIZZLIES",-13.5,119,128,-9,"H"
"824","2017-01-08","GOLDEN STATE WARRIORS","SACRAMENTO KINGS",-11.5,117,106,11,"V"
"825","2017-01-10","GOLDEN STATE WARRIORS","MIAMI HEAT",-14.5,107,95,12,"H"
"826","2017-01-12","GOLDEN STATE WARRIORS","DETROIT PISTONS",-13,127,107,20,"H"
"827","2017-01-16","GOLDEN STATE WARRIORS","CLEVELAND CAVALIERS",-8.5,126,91,35,"H"
"828","2017-01-18","GOLDEN STATE WARRIORS","OKLAHOMA CITY THUNDER",-14,121,100,21,"H"
"829","2017-01-20","GOLDEN STATE WARRIORS","HOUSTON ROCKETS",-5.5,125,108,17,"V"
"830","2017-01-22","GOLDEN STATE WARRIORS","ORLANDO MAGIC",-14,118,98,20,"V"
"831","2017-01-23","GOLDEN STATE WARRIORS","MIAMI HEAT",-11.5,102,105,-3,"V"
"832","2017-01-25","GOLDEN STATE WARRIORS","CHARLOTTE HORNETS",-10,113,103,10,"V"
"833","2017-01-28","GOLDEN STATE WARRIORS","LOS ANGELES CLIPPERS",-13,144,98,46,"H"
"834","2017-01-29","GOLDEN STATE WARRIORS","PORTLAND TRAIL BLAZERS",-6,113,111,2,"V"
"835","2017-02-01","GOLDEN STATE WARRIORS","CHARLOTTE HORNETS",-15,126,111,15,"H"
"836","2017-02-02","GOLDEN STATE WARRIORS","LOS ANGELES CLIPPERS",-8,133,120,13,"V"
"837","2017-02-04","GOLDEN STATE WARRIORS","SACRAMENTO KINGS",-14.5,106,109,-3,"V"
"838","2017-02-08","GOLDEN STATE WARRIORS","CHICAGO BULLS",-17,123,92,31,"H"
"839","2017-02-10","GOLDEN STATE WARRIORS","MEMPHIS GRIZZLIES",-7.5,122,107,15,"V"
"840","2017-02-11","GOLDEN STATE WARRIORS","OKLAHOMA CITY THUNDER",-8,130,114,16,"V"
"841","2017-02-13","GOLDEN STATE WARRIORS","DENVER NUGGETS",-12,110,132,-22,"V"
"842","2017-02-15","GOLDEN STATE WARRIORS","SACRAMENTO KINGS",-18.5,109,86,23,"H"
"843","2017-02-23","GOLDEN STATE WARRIORS","LOS ANGELES CLIPPERS",-13.5,123,113,10,"H"
"844","2017-02-25","GOLDEN STATE WARRIORS","BROOKLYN NETS",-21,112,95,17,"H"
"845","2017-02-27","GOLDEN STATE WARRIORS","PHILADELPHIA 76ERS",-14,119,108,11,"V"
"846","2017-02-28","GOLDEN STATE WARRIORS","WASHINGTON WIZARDS",-7,108,112,-4,"V"
"847","2017-03-02","GOLDEN STATE WARRIORS","CHICAGO BULLS",-7.5,87,94,-7,"V"
"848","2017-03-05","GOLDEN STATE WARRIORS","NEW YORK KNICKS",-10.5,112,105,7,"V"
"849","2017-03-06","GOLDEN STATE WARRIORS","ATLANTA HAWKS",-5.5,119,111,8,"V"
"850","2017-03-08","GOLDEN STATE WARRIORS","BOSTON CELTICS",-8,86,99,-13,"H"
"851","2017-03-10","GOLDEN STATE WARRIORS","MINNESOTA TIMBERWOLVES",-5.5,102,103,-1,"V"
"852","2017-03-11","GOLDEN STATE WARRIORS","SAN ANTONIO SPURS",11,85,107,-22,"V"
"853","2017-03-14","GOLDEN STATE WARRIORS","PHILADELPHIA 76ERS",-17,106,104,2,"H"
"854","2017-03-16","GOLDEN STATE WARRIORS","ORLANDO MAGIC",-13.5,122,92,30,"H"
"855","2017-03-18","GOLDEN STATE WARRIORS","MILWAUKEE BUCKS",-10.5,117,92,25,"H"
"856","2017-03-20","GOLDEN STATE WARRIORS","OKLAHOMA CITY THUNDER",-2,111,95,16,"V"
"857","2017-03-21","GOLDEN STATE WARRIORS","DALLAS MAVERICKS",-4.5,112,87,25,"V"
"858","2017-03-24","GOLDEN STATE WARRIORS","SACRAMENTO KINGS",-17.5,114,100,14,"H"
"859","2017-03-26","GOLDEN STATE WARRIORS","MEMPHIS GRIZZLIES",-11.5,106,94,12,"H"
"860","2017-03-28","GOLDEN STATE WARRIORS","HOUSTON ROCKETS",1.5,113,106,7,"V"
"861","2017-03-29","GOLDEN STATE WARRIORS","SAN ANTONIO SPURS",4.5,110,98,12,"V"
"862","2017-03-31","GOLDEN STATE WARRIORS","HOUSTON ROCKETS",-9,107,98,9,"H"
"863","2017-04-02","GOLDEN STATE WARRIORS","WASHINGTON WIZARDS",-9.5,139,115,24,"H"
"864","2017-04-04","GOLDEN STATE WARRIORS","MINNESOTA TIMBERWOLVES",-14.5,121,107,14,"H"
"865","2017-04-05","GOLDEN STATE WARRIORS","PHOENIX SUNS",-9,120,111,9,"V"
"866","2017-04-08","GOLDEN STATE WARRIORS","NEW ORLEANS PELICANS",-17,123,101,22,"H"
"867","2017-04-10","GOLDEN STATE WARRIORS","UTAH JAZZ",-10.5,99,105,-6,"H"
"868","2017-04-12","GOLDEN STATE WARRIORS","LOS ANGELES LAKERS",-13.5,109,94,15,"H"
"869","2017-04-16","GOLDEN STATE WARRIORS","PORTLAND TRAIL BLAZERS",-15,121,109,12,"H"
"870","2017-04-19","GOLDEN STATE WARRIORS","PORTLAND TRAIL BLAZERS",-12.5,110,81,29,"H"
"871","2017-04-22","GOLDEN STATE WARRIORS","PORTLAND TRAIL BLAZERS",-6,119,113,6,"V"
"872","2017-04-24","GOLDEN STATE WARRIORS","PORTLAND TRAIL BLAZERS",-7.5,128,103,25,"V"
"873","2017-05-02","GOLDEN STATE WARRIORS","UTAH JAZZ",-13,106,94,12,"H"
"874","2017-05-04","GOLDEN STATE WARRIORS","UTAH JAZZ",-13.5,115,104,11,"H"
"875","2017-05-06","GOLDEN STATE WARRIORS","UTAH JAZZ",-6.5,102,91,11,"V"
"876","2017-05-08","GOLDEN STATE WARRIORS","UTAH JAZZ",-8.5,121,95,26,"V"
"877","2017-05-14","GOLDEN STATE WARRIORS","SAN ANTONIO SPURS",-10,113,111,2,"H"
"878","2017-05-16","GOLDEN STATE WARRIORS","SAN ANTONIO SPURS",-13.5,136,100,36,"H"
"879","2017-05-20","GOLDEN STATE WARRIORS","SAN ANTONIO SPURS",-9,120,108,12,"V"
"880","2017-05-22","GOLDEN STATE WARRIORS","SAN ANTONIO SPURS",-11.5,129,115,14,"V"
"881","2017-06-01","GOLDEN STATE WARRIORS","CLEVELAND CAVALIERS",-7.5,113,91,22,"H"
"882","2017-06-04","GOLDEN STATE WARRIORS","CLEVELAND CAVALIERS",-9,132,113,19,"H"
"883","2017-06-07","GOLDEN STATE WARRIORS","CLEVELAND CAVALIERS",-3.5,118,113,5,"V"
"884","2017-06-09","GOLDEN STATE WARRIORS","CLEVELAND CAVALIERS",-5.5,116,137,-21,"V"
"885","2017-06-11","GOLDEN STATE WARRIORS","CLEVELAND CAVALIERS",-8.5,129,120,9,"H"
"886","2016-10-26","HOUSTON ROCKETS","LOS ANGELES LAKERS",-6,114,120,-6,"V"
"887","2016-10-28","HOUSTON ROCKETS","DALLAS MAVERICKS",-1,106,98,8,"V"
"888","2016-10-30","HOUSTON ROCKETS","DALLAS MAVERICKS",-4.5,93,92,1,"H"
"889","2016-11-01","HOUSTON ROCKETS","CLEVELAND CAVALIERS",9,120,128,-8,"V"
"890","2016-11-02","HOUSTON ROCKETS","NEW YORK KNICKS",1,118,99,19,"V"
"891","2016-11-05","HOUSTON ROCKETS","ATLANTA HAWKS",3,97,112,-15,"V"
"892","2016-11-07","HOUSTON ROCKETS","WASHINGTON WIZARDS",1.5,114,106,8,"V"
"893","2016-11-09","HOUSTON ROCKETS","SAN ANTONIO SPURS",8.5,101,99,2,"V"
"894","2016-11-12","HOUSTON ROCKETS","SAN ANTONIO SPURS",1.5,100,106,-6,"H"
"895","2016-11-14","HOUSTON ROCKETS","PHILADELPHIA 76ERS",-11.5,115,88,27,"H"
"896","2016-11-16","HOUSTON ROCKETS","OKLAHOMA CITY THUNDER",2.5,103,105,-2,"V"
"897","2016-11-17","HOUSTON ROCKETS","PORTLAND TRAIL BLAZERS",-5,126,109,17,"H"
"898","2016-11-19","HOUSTON ROCKETS","UTAH JAZZ",-6.5,111,102,9,"H"
"899","2016-11-21","HOUSTON ROCKETS","DETROIT PISTONS",-2.5,99,96,3,"V"
"900","2016-11-23","HOUSTON ROCKETS","TORONTO RAPTORS",-4,102,115,-13,"H"
"901","2016-11-25","HOUSTON ROCKETS","SACRAMENTO KINGS",-3.5,117,104,13,"V"
"902","2016-11-27","HOUSTON ROCKETS","PORTLAND TRAIL BLAZERS",-2.5,130,114,16,"V"
"903","2016-11-29","HOUSTON ROCKETS","UTAH JAZZ",-1.5,101,120,-19,"V"
"904","2016-12-01","HOUSTON ROCKETS","GOLDEN STATE WARRIORS",10.5,132,127,5,"V"
"905","2016-12-02","HOUSTON ROCKETS","DENVER NUGGETS",5,128,110,18,"V"
"906","2016-12-05","HOUSTON ROCKETS","BOSTON CELTICS",-5.5,107,106,1,"H"
"907","2016-12-07","HOUSTON ROCKETS","LOS ANGELES LAKERS",-13.5,134,95,39,"H"
"908","2016-12-09","HOUSTON ROCKETS","OKLAHOMA CITY THUNDER",-1.5,102,99,3,"V"
"909","2016-12-10","HOUSTON ROCKETS","DALLAS MAVERICKS",-12.5,109,87,22,"H"
"910","2016-12-12","HOUSTON ROCKETS","BROOKLYN NETS",-13.5,122,118,4,"H"
"911","2016-12-14","HOUSTON ROCKETS","SACRAMENTO KINGS",-13.5,132,98,34,"H"
"912","2016-12-16","HOUSTON ROCKETS","NEW ORLEANS PELICANS",-12.5,122,100,22,"H"
"913","2016-12-17","HOUSTON ROCKETS","MINNESOTA TIMBERWOLVES",-3,111,109,2,"V"
"914","2016-12-20","HOUSTON ROCKETS","SAN ANTONIO SPURS",-1,100,102,-2,"H"
"915","2016-12-21","HOUSTON ROCKETS","PHOENIX SUNS",-6.5,125,111,14,"V"
"916","2016-12-23","HOUSTON ROCKETS","MEMPHIS GRIZZLIES",-3.5,109,115,-6,"V"
"917","2016-12-26","HOUSTON ROCKETS","PHOENIX SUNS",-13,131,115,16,"H"
"918","2016-12-27","HOUSTON ROCKETS","DALLAS MAVERICKS",-5.5,123,107,16,"V"
"919","2016-12-30","HOUSTON ROCKETS","LOS ANGELES CLIPPERS",-10.5,140,116,24,"H"
"920","2016-12-31","HOUSTON ROCKETS","NEW YORK KNICKS",-12.5,129,122,7,"H"
"921","2017-01-02","HOUSTON ROCKETS","WASHINGTON WIZARDS",-8,101,91,10,"H"
"922","2017-01-05","HOUSTON ROCKETS","OKLAHOMA CITY THUNDER",-8.5,118,116,2,"H"
"923","2017-01-06","HOUSTON ROCKETS","ORLANDO MAGIC",-5.5,100,93,7,"V"
"924","2017-01-08","HOUSTON ROCKETS","TORONTO RAPTORS",-2.5,129,122,7,"V"
"925","2017-01-10","HOUSTON ROCKETS","CHARLOTTE HORNETS",-9,121,114,7,"H"
"926","2017-01-11","HOUSTON ROCKETS","MINNESOTA TIMBERWOLVES",-3.5,105,119,-14,"V"
"927","2017-01-13","HOUSTON ROCKETS","MEMPHIS GRIZZLIES",-7,105,110,-5,"H"
"928","2017-01-15","HOUSTON ROCKETS","BROOKLYN NETS",-14.5,137,112,25,"V"
