"","Date_of_game","Team1","Team2","Pointspread","Score1","Score2","scorediff","Location"
"56","2017-02-15","ATLANTA HAWKS","LOS ANGELES CLIPPERS",3.5,84,99,-15,"V"
"57","2017-02-24","ATLANTA HAWKS","MIAMI HEAT",-3,90,108,-18,"H"
"58","2017-02-25","ATLANTA HAWKS","ORLANDO MAGIC",-4,86,105,-19,"V"
"59","2017-02-27","ATLANTA HAWKS","BOSTON CELTICS",4.5,114,98,16,"V"
"60","2017-03-01","ATLANTA HAWKS","DALLAS MAVERICKS",-6,100,95,5,"H"
"61","2017-03-03","ATLANTA HAWKS","CLEVELAND CAVALIERS",2.5,130,135,-5,"H"
"62","2017-03-05","ATLANTA HAWKS","INDIANA PACERS",-3,96,97,-1,"H"
"63","2017-03-06","ATLANTA HAWKS","GOLDEN STATE WARRIORS",5.5,111,119,-8,"H"
"64","2017-03-08","ATLANTA HAWKS","BROOKLYN NETS",-9.5,110,105,5,"H"
"65","2017-03-10","ATLANTA HAWKS","TORONTO RAPTORS",-3,105,99,6,"H"
"66","2017-03-11","ATLANTA HAWKS","MEMPHIS GRIZZLIES",6.5,107,90,17,"V"
"67","2017-03-13","ATLANTA HAWKS","SAN ANTONIO SPURS",7,99,107,-8,"V"
"68","2017-03-16","ATLANTA HAWKS","MEMPHIS GRIZZLIES",-4,91,103,-12,"H"
"69","2017-03-18","ATLANTA HAWKS","PORTLAND TRAIL BLAZERS",-3.5,97,113,-16,"H"
"70","2017-03-20","ATLANTA HAWKS","CHARLOTTE HORNETS",6,90,105,-15,"V"
"71","2017-03-22","ATLANTA HAWKS","WASHINGTON WIZARDS",7.5,100,104,-4,"V"
"72","2017-03-24","ATLANTA HAWKS","MILWAUKEE BUCKS",6.5,97,100,-3,"V"
"73","2017-03-26","ATLANTA HAWKS","BROOKLYN NETS",-6.5,92,107,-15,"H"
"74","2017-03-28","ATLANTA HAWKS","PHOENIX SUNS",-10,95,91,4,"H"
"75","2017-03-29","ATLANTA HAWKS","PHILADELPHIA 76ERS",-2.5,99,92,7,"V"
"76","2017-04-01","ATLANTA HAWKS","CHICAGO BULLS",5,104,106,-2,"V"
"77","2017-04-02","ATLANTA HAWKS","BROOKLYN NETS",-3,82,91,-9,"V"
"78","2017-04-06","ATLANTA HAWKS","BOSTON CELTICS",1.5,123,116,7,"H"
"79","2017-04-07","ATLANTA HAWKS","CLEVELAND CAVALIERS",14,114,100,14,"V"
"80","2017-04-09","ATLANTA HAWKS","CLEVELAND CAVALIERS",4.5,126,125,1,"H"
"81","2017-04-11","ATLANTA HAWKS","CHARLOTTE HORNETS",-8,103,76,27,"H"
"82","2017-04-12","ATLANTA HAWKS","INDIANA PACERS",14,86,104,-18,"V"
"83","2017-04-16","ATLANTA HAWKS","WASHINGTON WIZARDS",5.5,107,114,-7,"V"
"84","2017-04-19","ATLANTA HAWKS","WASHINGTON WIZARDS",6,101,109,-8,"V"
"85","2017-04-22","ATLANTA HAWKS","WASHINGTON WIZARDS",-2.5,116,98,18,"H"
"86","2017-04-24","ATLANTA HAWKS","WASHINGTON WIZARDS",-2.5,111,101,10,"H"
"87","2017-04-26","ATLANTA HAWKS","WASHINGTON WIZARDS",6,99,103,-4,"V"
"88","2017-04-28","ATLANTA HAWKS","WASHINGTON WIZARDS",-3,99,115,-16,"H"
"89","2016-10-26","BOSTON CELTICS","BROOKLYN NETS",-11.5,122,117,5,"H"
"90","2016-10-27","BOSTON CELTICS","CHICAGO BULLS",1.5,99,105,-6,"V"
"91","2016-10-29","BOSTON CELTICS","CHARLOTTE HORNETS",-2.5,104,98,6,"V"
"92","2016-11-02","BOSTON CELTICS","CHICAGO BULLS",-3,107,100,7,"H"
"93","2016-11-03","BOSTON CELTICS","CLEVELAND CAVALIERS",10,122,128,-6,"V"
"94","2016-11-06","BOSTON CELTICS","DENVER NUGGETS",-7,107,123,-16,"H"
"95","2016-11-09","BOSTON CELTICS","WASHINGTON WIZARDS",1,93,118,-25,"V"
"96","2016-11-11","BOSTON CELTICS","NEW YORK KNICKS",-5.5,115,87,28,"H"
"97","2016-11-12","BOSTON CELTICS","INDIANA PACERS",-1,105,99,6,"V"
"98","2016-11-14","BOSTON CELTICS","NEW ORLEANS PELICANS",-4.5,105,106,-1,"V"
"99","2016-11-16","BOSTON CELTICS","DALLAS MAVERICKS",-6.5,90,83,7,"H"
"100","2016-11-18","BOSTON CELTICS","GOLDEN STATE WARRIORS",8.5,88,104,-16,"H"
"101","2016-11-19","BOSTON CELTICS","DETROIT PISTONS",2,94,92,2,"V"
"102","2016-11-21","BOSTON CELTICS","MINNESOTA TIMBERWOLVES",-1.5,99,93,6,"V"
"103","2016-11-23","BOSTON CELTICS","BROOKLYN NETS",-7.5,111,92,19,"V"
"104","2016-11-25","BOSTON CELTICS","SAN ANTONIO SPURS",3.5,103,109,-6,"H"
"105","2016-11-28","BOSTON CELTICS","MIAMI HEAT",-5.5,112,104,8,"V"
"106","2016-11-30","BOSTON CELTICS","DETROIT PISTONS",-6.5,114,121,-7,"H"
"107","2016-12-02","BOSTON CELTICS","SACRAMENTO KINGS",-6.5,97,92,5,"H"
"108","2016-12-03","BOSTON CELTICS","PHILADELPHIA 76ERS",-9.5,107,106,1,"V"
"109","2016-12-05","BOSTON CELTICS","HOUSTON ROCKETS",5.5,106,107,-1,"V"
"110","2016-12-07","BOSTON CELTICS","ORLANDO MAGIC",-1.5,117,87,30,"V"
"111","2016-12-09","BOSTON CELTICS","TORONTO RAPTORS",-1.5,94,101,-7,"H"
"112","2016-12-11","BOSTON CELTICS","OKLAHOMA CITY THUNDER",3.5,96,99,-3,"V"
"113","2016-12-14","BOSTON CELTICS","SAN ANTONIO SPURS",6,101,108,-7,"V"
"114","2016-12-16","BOSTON CELTICS","CHARLOTTE HORNETS",-6.5,96,88,8,"H"
"115","2016-12-18","BOSTON CELTICS","MIAMI HEAT",-4.5,105,95,10,"V"
"116","2016-12-20","BOSTON CELTICS","MEMPHIS GRIZZLIES",-2.5,112,109,3,"V"
"117","2016-12-22","BOSTON CELTICS","INDIANA PACERS",-1.5,109,102,7,"V"
"118","2016-12-23","BOSTON CELTICS","OKLAHOMA CITY THUNDER",-5.5,112,117,-5,"H"
"119","2016-12-25","BOSTON CELTICS","NEW YORK KNICKS",-2.5,119,114,5,"V"
"120","2016-12-27","BOSTON CELTICS","MEMPHIS GRIZZLIES",-7.5,113,103,10,"H"
"121","2016-12-29","BOSTON CELTICS","CLEVELAND CAVALIERS",6.5,118,124,-6,"V"
"122","2016-12-30","BOSTON CELTICS","MIAMI HEAT",-9.5,117,114,3,"H"
"123","2017-01-03","BOSTON CELTICS","UTAH JAZZ",-5.5,115,104,11,"H"
"124","2017-01-06","BOSTON CELTICS","PHILADELPHIA 76ERS",-11.5,110,106,4,"H"
"125","2017-01-07","BOSTON CELTICS","NEW ORLEANS PELICANS",-7.5,117,108,9,"H"
"126","2017-01-10","BOSTON CELTICS","TORONTO RAPTORS",5.5,106,114,-8,"V"
"127","2017-01-11","BOSTON CELTICS","WASHINGTON WIZARDS",-5.5,117,108,9,"H"
"128","2017-01-13","BOSTON CELTICS","ATLANTA HAWKS",3.5,103,101,2,"V"
"129","2017-01-16","BOSTON CELTICS","CHARLOTTE HORNETS",-5.5,108,98,10,"H"
"130","2017-01-18","BOSTON CELTICS","NEW YORK KNICKS",-9,106,117,-11,"H"
"131","2017-01-21","BOSTON CELTICS","PORTLAND TRAIL BLAZERS",-7.5,123,127,-4,"H"
"132","2017-01-24","BOSTON CELTICS","WASHINGTON WIZARDS",-1,108,123,-15,"V"
"133","2017-01-25","BOSTON CELTICS","HOUSTON ROCKETS",4,120,109,11,"H"
"134","2017-01-27","BOSTON CELTICS","ORLANDO MAGIC",-8.5,128,98,30,"H"
"135","2017-01-28","BOSTON CELTICS","MILWAUKEE BUCKS",2,112,108,4,"V"
"136","2017-01-30","BOSTON CELTICS","DETROIT PISTONS",-5.5,113,109,4,"H"
"137","2017-02-01","BOSTON CELTICS","TORONTO RAPTORS",-6.5,109,104,5,"H"
"138","2017-02-03","BOSTON CELTICS","LOS ANGELES LAKERS",-11,113,107,6,"H"
"139","2017-02-05","BOSTON CELTICS","LOS ANGELES CLIPPERS",-5.5,107,102,5,"H"
"140","2017-02-08","BOSTON CELTICS","SACRAMENTO KINGS",-8.5,92,108,-16,"V"
"141","2017-02-09","BOSTON CELTICS","PORTLAND TRAIL BLAZERS",3,120,111,9,"V"
"142","2017-02-11","BOSTON CELTICS","UTAH JAZZ",6.5,112,104,8,"V"
"143","2017-02-13","BOSTON CELTICS","DALLAS MAVERICKS",-2,111,98,13,"V"
"144","2017-02-15","BOSTON CELTICS","PHILADELPHIA 76ERS",-10,116,108,8,"H"
"145","2017-02-16","BOSTON CELTICS","CHICAGO BULLS",-1,103,104,-1,"V"
"146","2017-02-24","BOSTON CELTICS","TORONTO RAPTORS",2,97,107,-10,"V"
"147","2017-02-26","BOSTON CELTICS","DETROIT PISTONS",-2,104,98,6,"V"
"148","2017-02-27","BOSTON CELTICS","ATLANTA HAWKS",-4.5,98,114,-16,"H"
"149","2017-03-01","BOSTON CELTICS","CLEVELAND CAVALIERS",-1,103,99,4,"H"
"150","2017-03-03","BOSTON CELTICS","LOS ANGELES LAKERS",-7.5,115,95,20,"V"
"151","2017-03-05","BOSTON CELTICS","PHOENIX SUNS",-5,106,109,-3,"V"
"152","2017-03-06","BOSTON CELTICS","LOS ANGELES CLIPPERS",7.5,102,116,-14,"V"
"153","2017-03-08","BOSTON CELTICS","GOLDEN STATE WARRIORS",8,99,86,13,"V"
"154","2017-03-10","BOSTON CELTICS","DENVER NUGGETS",-2.5,99,119,-20,"V"
"155","2017-03-12","BOSTON CELTICS","CHICAGO BULLS",-7.5,100,80,20,"H"
"156","2017-03-15","BOSTON CELTICS","MINNESOTA TIMBERWOLVES",-5.5,117,104,13,"H"
"157","2017-03-17","BOSTON CELTICS","BROOKLYN NETS",-8.5,98,95,3,"V"
"158","2017-03-19","BOSTON CELTICS","PHILADELPHIA 76ERS",-5,99,105,-6,"V"
"159","2017-03-20","BOSTON CELTICS","WASHINGTON WIZARDS",-3.5,110,102,8,"H"
"160","2017-03-22","BOSTON CELTICS","INDIANA PACERS",-7,109,100,9,"H"
"161","2017-03-24","BOSTON CELTICS","PHOENIX SUNS",-16,130,120,10,"H"
"162","2017-03-26","BOSTON CELTICS","MIAMI HEAT",-6,112,108,4,"H"
"163","2017-03-29","BOSTON CELTICS","MILWAUKEE BUCKS",-7.5,100,103,-3,"H"
"164","2017-03-31","BOSTON CELTICS","ORLANDO MAGIC",-10,117,116,1,"H"
"165","2017-04-02","BOSTON CELTICS","NEW YORK KNICKS",-7.5,110,94,16,"V"
"166","2017-04-05","BOSTON CELTICS","CLEVELAND CAVALIERS",-4,91,114,-23,"H"
"167","2017-04-06","BOSTON CELTICS","ATLANTA HAWKS",-1.5,116,123,-7,"V"
"168","2017-04-08","BOSTON CELTICS","CHARLOTTE HORNETS",1,121,114,7,"V"
