"","x"
"584",-3
"585",4
"586",9
"587",10
"588",8
"589",-3
"590",-4
"591",-10
"592",5
"593",8
"594",3
"595",-3
"596",8
"597",-3
"598",-9
"599",-1
"600",-7
"601",-2
"602",6
"603",16
"604",-5
"605",-1
"606",9
"607",3
"608",0
"609",-13
"610",-19
"611",-3
"612",2
"613",2
"614",5
"615",-4
"616",-7
"617",-14
"618",0
"619",5
"620",11
"621",-8
"622",-2
"623",3
"624",-9
"625",-7
"626",2
"627",1
"628",-8
"629",-9
"630",0
"631",4
"632",-1
"633",7
"634",-5
"635",1
"636",-5
"637",1
"638",-8
"639",9
"640",-12
"641",7
"642",-7
"643",-15
"644",-7
"645",-9
"646",3
"647",-4
"648",0
"649",10
"650",-17
"651",-2
"652",-7
"653",2
"654",-10
"655",-5
"656",0
"657",-6
"658",-5
"659",-7
"660",-7
"661",-14
"662",-8
"663",2
"664",-5
"665",5
"666",4
"667",13
"668",7
"669",18
"670",25
"671",17
"672",11
"673",14
"674",8
"675",0
"676",25
"677",11
"678",3
"679",-8
"680",-6
"681",11
"682",9
"683",3
"684",7
"685",3
"686",11
"687",3
"688",13
"689",4
"690",11
"691",3
"692",9
"693",4
"694",13
"695",22
"696",3
"697",7
"698",12
"699",8
"700",10
"701",2
"702",21
"703",7
"704",-4
"705",8
"706",5
"707",13
"708",-1
"709",13
"710",20
"711",8
"712",2
"713",11
"714",14
"715",8
"716",13
"717",12
"718",-3
"719",9
"720",10
"721",-1
"722",-8
"723",11
"724",3
"725",18
"726",1
"727",-3
"728",17
"729",9
"730",6
"731",11
"732",-4
"733",7
"734",14
"735",-2
"736",15
"737",-1
"738",6
"739",-7
"740",-7
"741",7
"742",-5
"743",-6
"744",8
"745",21
"746",21
"747",4
"748",-6
"749",8
"750",-1
"751",0
"752",-5
"753",-1
"754",-5
"755",-4
"756",-8
"757",4
"758",0
"759",10
"760",4
"761",-11
"762",1
"763",7
"764",9
"765",0
"766",8
"767",12
"768",5
"769",2
"770",0
"771",-14
"772",-1
"773",-3
"774",8
"775",3
"776",2
"777",-4
"778",10
"779",11
"780",7
"781",-1
"782",2
"783",2
"784",-6
"785",3
"786",13
"787",6
"788",0
"789",3
"790",1
"791",1
"792",-5
"793",11
"794",-5
"795",-6
"796",5
"797",-3
"798",-18
"799",1
"800",8
"801",6
"802",-9
"803",1
"804",8
"805",2
"806",15
"807",2
"808",5
"809",-3
"810",3
"811",-3
"812",-9
"813",-2
"814",-6
"815",-3
"816",-9
"817",-2
"818",-1
"819",-6
"820",3
"821",0
"822",8
"823",-2
"824",0
"825",-1
"826",-5
"827",-5
"828",2
"829",10
"830",3
"831",8
"832",6
"833",2
"834",-1
"835",-3
"836",10
"837",-3
"838",-1
"839",-10
"840",2
"841",-6
"842",-3
"843",3
"844",2
"845",-3
"846",-4
"847",5
"848",-7
"849",1
"850",-1
"851",3
"852",0
"853",-2
"854",6
"855",7
"856",0
"857",-2
"858",-7
"859",-9
"860",-7
"861",-2
"862",-3
"863",13
"864",-12
"865",1
"866",-1
"867",-1
"868",-8
"869",6
"870",9
"871",-8
"872",-3
"873",1
"874",8
"875",-3
"876",-11
"877",9
"878",-8
"879",2
"880",-18
"881",-3
"882",2
"883",-5
"884",-1
"885",-4
"886",-6
"887",8
"888",1
"889",6
"890",5
"891",-3
"892",2
"893",5
"894",-1
"895",-5
"896",1
"897",4
"898",4
"899",-1
"900",2
"901",-6
"902",-8
"903",-1
"904",11
"905",0
"906",-7
"907",-9
"908",-1
"909",-5
"910",4
"911",5
"912",-16
"913",16
"914",-15
"915",-7
"916",5
"917",-2
"918",2
"919",-12
"920",-6
"921",-10
"922",-1
"923",16
"924",2
"925",-1
"926",-5
"927",5
"928",3
"929",-9
"930",-4
"931",-5
"932",-9
"933",-1
"934",-3
"935",-4
"936",2
"937",-8
"938",-16
"939",1
"940",-14
"941",-7
"942",-1
"943",-5
"944",0
"945",-5
"946",-1
"947",-7
"948",-6
"949",-9
"950",-21
"951",-5
"952",-9
"953",1
"954",2
"955",-11
"956",0
"957",0
"958",-8
"959",-3
"960",-3
"961",5
"962",0
"963",9
"964",-1
"965",-19
"966",-1
"967",-5
"968",3
"969",2
"970",4
"971",1
"972",-5
"973",0
"974",15
"975",-3
"976",0
"977",2
"978",3
"979",-6
"980",0
"981",-3
"982",14
"983",11
"984",2
"985",-4
"986",0
"987",0
"988",1
"989",8
"990",3
"991",-1
"992",7
"993",2
"994",-8
"995",4
"996",1
"997",5
"998",5
