"","Team","Player","GoneDate","BackDate"
"18913","Raptors","Lucas Nogueira",2017-05-05,2017-05-07
"18917","Rockets","Chinanu Onuaku",2017-04-16,2017-05-09
"18918","Rockets","Kyle Wiltjer",2017-04-16,2017-05-09
"18920","Rockets","Isaiah Taylor",2017-05-09,2017-05-11
"18922","Spurs","Joel Anthony",2017-04-25,2017-05-11
"18925","Spurs","Kawhi Leonard",2017-05-11,2017-05-14
"18928","Spurs","Joel Anthony",2017-04-25,2017-05-16
"18930","Warriors","Damian Jones",2017-05-02,2017-05-16
"18935","Celtics","Jordan Mickey",2017-04-16,2017-05-19
"18938","Warriors","Andre Iguodala",2017-05-16,2017-05-20
"18940","Celtics","James Young",2017-05-19,2017-05-21
"18943","Spurs","Kawhi Leonard",2017-05-16,2017-05-22
"18948","Warriors","Zaza Pachulia",2017-05-20,2017-06-01
