"","X.3","X.2","Rk","G","Date","X","Opp","W.L","Tm","Opp.1","TeamFG","TeamFGA","TeamFG.","Team3P","Team3PA","Team3P.","TeamFT","TeamFTA","TeamFT.","TeamORB","TeamTRB","TeamAST","TeamSTL","TeamBLK","TeamTOV","TeamPF","X.1","OppoFG","OppoFGA","OppoFG.","Oppo3P","Oppo3PA","Oppo3P.","OppoFT","OppoFTA","OppoFT.","OppoORB","OppoTRB","OppoAST","OppoSTL","OppoBLK","OppoTOV","OppoPF","Tm1","TPdiff","TRBdiff","FTdiff","ASTdiff","BLKdiff","TOVdiff"
"20",37,37,37,37,"2017-01-07","@","DALLAS MAVERICKS","W",97,82,30,74,0.405,11,22,0.5,26,32,0.813,6,47,19,8,1,10,15,NA,32,82,0.39,9,36,0.25,9,10,0.9,6,41,18,7,3,14,25,"ATLANTA HAWKS",2,6,17,1,-2,-4
"21",60,60,60,60,"2017-03-01","","DALLAS MAVERICKS","W",100,95,36,64,0.563,10,21,0.476,18,24,0.75,4,34,24,12,4,22,19,NA,35,77,0.455,14,33,0.424,11,13,0.846,10,33,22,10,5,20,20,"ATLANTA HAWKS",-4,1,7,2,-1,2
"22",30,30,30,30,"2016-12-23","@","DENVER NUGGETS","W",109,108,37,86,0.43,8,25,0.32,27,33,0.818,9,40,26,10,4,8,25,NA,37,78,0.474,8,25,0.32,26,35,0.743,7,46,27,3,7,15,29,"ATLANTA HAWKS",0,-6,1,-1,-3,-7
"23",53,53,53,53,"2017-02-08","","DENVER NUGGETS","W",117,106,47,93,0.505,8,27,0.296,15,18,0.833,12,48,31,6,4,10,18,NA,40,100,0.4,13,44,0.295,13,21,0.619,21,49,25,8,4,10,20,"ATLANTA HAWKS",-5,-1,2,6,0,0
"24",20,20,20,20,"2016-12-02","","DETROIT PISTONS","L",85,121,32,88,0.364,6,24,0.25,15,20,0.75,6,32,22,6,2,7,12,NA,48,89,0.539,17,29,0.586,8,12,0.667,11,54,28,4,3,15,15,"ATLANTA HAWKS",-11,-22,7,-6,-1,-8
"25",33,33,33,33,"2016-12-30","","DETROIT PISTONS","W",105,98,39,88,0.443,8,26,0.308,19,25,0.76,12,44,29,10,2,15,21,NA,35,84,0.417,9,31,0.29,19,21,0.905,14,43,22,9,7,18,24,"ATLANTA HAWKS",-1,1,0,7,-5,-3
"26",42,42,42,42,"2017-01-18","@","DETROIT PISTONS","L",95,118,30,78,0.385,6,25,0.24,29,37,0.784,8,32,22,1,4,12,21,NA,45,91,0.495,10,25,0.4,18,28,0.643,18,60,27,6,0,12,29,"ATLANTA HAWKS",-4,-28,11,-5,4,0
"27",18,18,18,18,"2016-11-28","@","GOLDEN STATE WARRIORS","L",100,105,36,85,0.424,7,29,0.241,21,30,0.7,13,50,20,11,4,18,22,NA,37,85,0.435,12,35,0.343,19,24,0.792,7,41,25,6,10,14,20,"ATLANTA HAWKS",-5,9,2,-5,-6,4
"28",63,63,63,63,"2017-03-06","","GOLDEN STATE WARRIORS","L",111,119,38,82,0.463,13,28,0.464,22,31,0.71,14,47,19,6,6,19,23,NA,41,87,0.471,20,44,0.455,17,22,0.773,13,43,33,10,4,14,22,"ATLANTA HAWKS",-7,4,5,-14,2,5
"29",6,6,6,6,"2016-11-05","","HOUSTON ROCKETS","W",112,97,45,85,0.529,8,20,0.4,14,24,0.583,13,44,29,17,6,19,13,NA,37,85,0.435,12,36,0.333,11,13,0.846,12,43,22,9,7,26,26,"ATLANTA HAWKS",-4,1,3,7,-1,-7
"30",50,50,50,50,"2017-02-02","@","HOUSTON ROCKETS","W",113,108,44,85,0.518,8,30,0.267,17,23,0.739,8,56,26,8,5,20,20,NA,35,93,0.376,13,51,0.255,25,33,0.758,7,37,19,11,4,9,20,"ATLANTA HAWKS",-5,19,-8,7,1,11
"31",15,15,15,15,"2016-11-23","@","INDIANA PACERS","W",96,85,36,85,0.424,5,20,0.25,19,22,0.864,17,56,17,11,7,21,18,NA,34,84,0.405,7,27,0.259,10,14,0.714,7,37,16,15,5,18,20,"ATLANTA HAWKS",-2,19,9,1,2,3
"32",62,62,62,62,"2017-03-05","","INDIANA PACERS","L",96,97,34,77,0.442,9,27,0.333,19,31,0.613,11,44,21,12,1,14,19,NA,35,78,0.449,15,33,0.455,12,21,0.571,9,44,24,6,4,15,22,"ATLANTA HAWKS",-6,0,7,-3,-3,-1
"33",82,82,82,82,"2017-04-12","@","INDIANA PACERS","L",86,104,30,72,0.417,11,29,0.379,15,19,0.789,8,37,19,5,4,18,15,NA,39,82,0.476,10,24,0.417,16,19,0.842,8,41,21,5,7,10,14,"ATLANTA HAWKS",1,-4,-1,-2,-3,8
