,Rk,G,Date,X,Opp,W.L,Tm,Opp.1,TeamFG,TeamFGA,TeamFG.,Team3P,Team3PA,Team3P.,TeamFT,TeamFTA,TeamFT.,TeamORB,TeamTRB,TeamAST,TeamSTL,TeamBLK,TeamTOV,TeamPF,X.1,OppoFG,OppoFGA,OppoFG.,Oppo3P,Oppo3PA,Oppo3P.,OppoFT,OppoFTA,OppoFT.,OppoORB,OppoTRB,OppoAST,OppoSTL,OppoBLK,OppoTOV,OppoPF,Tm1
315,45,45,2017/1/23,,WAS,L,99,109,35,90,0.389,8,32,0.25,21,25,0.84,12,43,24,7,5,8,19,NA,43,80,0.538,10,25,0.4,13,17,0.765,5,47,22,5,3,14,23,CHA
316,46,46,2017/1/25,,GSW,L,103,113,38,92,0.413,7,23,0.304,20,21,0.952,12,43,26,6,6,14,18,NA,39,82,0.476,11,28,0.393,24,27,0.889,5,41,23,7,14,12,19,CHA
317,47,47,2017/1/27,@,NYK,L,107,110,40,90,0.444,13,37,0.351,14,15,0.933,9,47,18,5,4,13,16,NA,46,96,0.479,9,27,0.333,9,13,0.692,11,48,22,8,9,10,18,CHA
318,48,48,2017/1/28,,SAC,L,106,109,36,75,0.48,12,37,0.324,22,24,0.917,7,34,24,4,7,11,25,NA,41,79,0.519,11,27,0.407,16,26,0.615,8,38,27,6,5,9,23,CHA
319,49,49,2017/1/31,@,POR,L,98,115,33,83,0.398,11,31,0.355,21,25,0.84,3,42,20,3,6,9,13,NA,42,93,0.452,11,31,0.355,20,23,0.87,11,51,23,8,2,8,18,CHA
320,50,50,2017/2/1,@,GSW,L,111,126,39,88,0.443,9,31,0.29,24,26,0.923,6,45,33,4,3,10,14,NA,47,96,0.49,21,48,0.438,11,14,0.786,9,47,35,9,13,10,18,CHA
321,51,51,2017/2/4,@,UTA,L,98,105,35,82,0.427,13,33,0.394,15,18,0.833,3,38,20,7,3,9,20,NA,38,81,0.469,13,33,0.394,16,24,0.667,11,51,16,5,4,13,18,CHA
322,52,52,2017/2/7,,BRK,W,111,107,40,102,0.392,7,26,0.269,24,29,0.828,12,51,19,6,7,7,17,NA,39,86,0.453,12,36,0.333,17,21,0.81,4,45,26,3,8,15,23,CHA
323,53,53,2017/2/9,,HOU,L,95,107,37,85,0.435,8,26,0.308,13,14,0.929,10,47,26,8,5,21,17,NA,39,87,0.448,13,40,0.325,16,20,0.8,9,42,22,13,5,17,19,CHA
324,54,54,2017/2/11,,LAC,L,102,107,37,85,0.435,13,37,0.351,15,20,0.75,8,40,24,6,4,8,20,NA,40,85,0.471,14,34,0.412,13,20,0.65,10,50,26,3,6,13,21,CHA
325,55,55,2017/2/13,,PHI,L,99,105,34,78,0.436,11,31,0.355,20,26,0.769,3,33,19,11,5,15,17,NA,41,86,0.477,12,33,0.364,11,17,0.647,9,51,24,9,5,18,21,CHA
326,56,56,2017/2/15,@,TOR,L,85,90,32,76,0.421,13,38,0.342,8,9,0.889,5,44,21,9,6,17,18,NA,32,84,0.381,12,32,0.375,14,19,0.737,8,46,19,8,4,14,13,CHA
327,57,57,2017/2/23,@,DET,L,108,114,38,92,0.413,7,30,0.233,25,26,0.962,5,50,19,5,7,7,15,NA,44,107,0.411,15,37,0.405,11,12,0.917,10,57,29,5,2,8,17,CHA
328,58,58,2017/2/25,@,SAC,W,99,85,34,85,0.4,14,38,0.368,17,18,0.944,13,50,26,10,3,10,13,NA,31,79,0.392,11,28,0.393,12,15,0.8,9,41,18,3,6,14,19,CHA
329,59,59,2017/2/26,@,LAC,L,121,124,38,80,0.475,18,40,0.45,27,30,0.9,5,43,16,1,1,16,32,NA,45,97,0.464,10,32,0.313,24,34,0.706,15,47,27,14,3,9,25,CHA
330,60,60,2017/2/28,@,LAL,W,109,104,38,85,0.447,16,39,0.41,17,24,0.708,11,45,25,3,5,12,11,NA,41,84,0.488,12,32,0.375,10,13,0.769,6,39,22,9,5,14,23,CHA
331,61,61,2017/3/2,@,PHO,L,103,120,35,89,0.393,10,34,0.294,23,28,0.821,9,34,19,14,1,16,20,NA,46,77,0.597,7,19,0.368,21,25,0.84,4,42,30,8,7,18,23,CHA
332,62,62,2017/3/4,@,DEN,W,112,102,41,90,0.456,16,27,0.593,14,17,0.824,13,43,25,8,6,5,18,NA,36,80,0.45,9,30,0.3,21,25,0.84,11,45,21,5,3,13,20,CHA
333,63,63,2017/3/6,,IND,W,100,88,35,86,0.407,11,31,0.355,19,21,0.905,13,50,21,10,2,10,8,NA,37,81,0.457,12,30,0.4,2,3,0.667,6,41,29,3,5,15,17,CHA
334,64,64,2017/3/8,@,MIA,L,101,108,37,80,0.463,7,21,0.333,20,21,0.952,6,39,14,7,8,12,17,NA,37,85,0.435,17,41,0.415,17,24,0.708,13,46,22,8,7,12,18,CHA
335,65,65,2017/3/10,,ORL,W,121,81,47,79,0.595,10,21,0.476,17,20,0.85,6,43,34,6,5,7,17,NA,31,76,0.408,5,27,0.185,14,22,0.636,8,31,19,4,2,10,24,CHA
336,66,66,2017/3/11,,NOP,L,122,125,46,102,0.451,13,46,0.283,17,20,0.85,11,50,32,5,1,9,14,NA,50,99,0.505,14,34,0.412,11,16,0.688,9,47,33,4,4,10,16,CHA
337,67,67,2017/3/13,,CHI,L,109,115,43,93,0.462,7,29,0.241,16,19,0.842,11,44,25,4,3,6,18,NA,41,92,0.446,14,40,0.35,19,22,0.864,12,50,29,6,5,10,20,CHA
338,68,68,2017/3/15,@,IND,L,77,98,32,80,0.4,3,23,0.13,10,13,0.769,3,30,15,9,4,10,13,NA,39,73,0.534,12,28,0.429,8,9,0.889,3,42,26,8,6,14,15,CHA
339,69,69,2017/3/18,,WAS,W,98,93,35,82,0.427,9,24,0.375,19,27,0.704,6,41,23,8,8,7,20,NA,29,79,0.367,11,33,0.333,24,31,0.774,8,44,21,6,7,12,21,CHA
340,70,70,2017/3/20,,ATL,W,105,90,40,80,0.5,12,30,0.4,13,20,0.65,5,33,28,12,4,7,13,NA,37,84,0.44,12,37,0.324,4,10,0.4,12,45,26,3,5,15,17,CHA
341,71,71,2017/3/22,@,ORL,W,109,102,42,90,0.467,9,27,0.333,16,18,0.889,12,43,24,9,3,10,12,NA,40,88,0.455,14,40,0.35,8,10,0.8,13,43,26,5,3,14,19,CHA
342,72,72,2017/3/24,,CLE,L,105,112,38,90,0.422,10,38,0.263,19,24,0.792,14,42,18,6,4,9,17,NA,41,74,0.554,9,25,0.36,21,24,0.875,3,38,26,6,5,12,22,CHA
343,73,73,2017/3/26,,PHO,W,120,106,42,87,0.483,14,30,0.467,22,24,0.917,8,41,29,8,2,7,14,NA,41,81,0.506,6,16,0.375,18,22,0.818,8,39,25,6,3,12,17,CHA
344,74,74,2017/3/28,,MIL,L,108,118,39,80,0.488,7,28,0.25,23,29,0.793,5,31,25,7,1,2,12,NA,46,74,0.622,14,30,0.467,12,17,0.706,3,42,31,1,3,14,26,CHA
345,75,75,2017/3/29,@,TOR,W,110,106,39,86,0.453,16,32,0.5,16,21,0.762,11,38,23,6,2,8,18,NA,38,83,0.458,11,31,0.355,19,24,0.792,13,44,23,4,7,13,22,CHA
346,76,76,2017/3/31,,DEN,W,122,114,40,86,0.465,17,36,0.472,25,30,0.833,10,43,26,10,11,6,17,NA,45,90,0.5,16,33,0.485,8,11,0.727,10,49,32,4,1,13,19,CHA
347,77,77,2017/4/2,@,OKC,W,113,101,37,77,0.481,11,30,0.367,28,32,0.875,3,37,20,18,5,16,13,NA,39,84,0.464,12,31,0.387,11,12,0.917,7,42,19,10,5,24,20,CHA
348,78,78,2017/4/4,@,WAS,L,111,118,40,79,0.506,12,34,0.353,19,22,0.864,9,37,21,5,3,16,17,NA,43,85,0.506,17,34,0.5,15,18,0.833,6,36,31,10,3,12,18,CHA
349,79,79,2017/4/5,,MIA,L,99,112,35,78,0.449,8,25,0.32,21,24,0.875,4,36,19,2,7,6,15,NA,40,84,0.476,21,40,0.525,11,12,0.917,7,40,23,5,7,6,16,CHA
350,80,80,2017/4/8,,BOS,L,114,121,38,84,0.452,9,28,0.321,29,32,0.906,7,42,22,5,5,7,15,NA,45,87,0.517,17,39,0.436,14,17,0.824,5,43,35,2,5,9,19,CHA
351,81,81,2017/4/10,@,MIL,L,79,89,33,81,0.407,5,18,0.278,8,13,0.615,7,39,21,11,5,9,10,NA,35,78,0.449,16,27,0.593,3,5,0.6,8,46,28,4,3,16,14,CHA
352,82,82,2017/4/11,@,ATL,L,76,103,29,88,0.33,3,23,0.13,15,19,0.789,15,40,16,11,1,13,17,NA,41,79,0.519,7,27,0.259,14,18,0.778,11,50,30,6,4,16,17,CHA
353,1,1,2016/10/27,,BOS,W,105,99,36,92,0.391,11,25,0.44,22,30,0.733,18,55,25,5,1,12,21,NA,38,76,0.5,8,23,0.348,15,24,0.625,3,36,22,6,6,11,25,CHI
354,2,2,2016/10/29,,IND,W,118,101,45,86,0.523,9,21,0.429,19,21,0.905,13,47,34,8,6,12,14,NA,43,88,0.489,7,18,0.389,8,9,0.889,8,33,34,8,7,13,16,CHI
355,3,3,2016/10/31,@,BRK,W,118,88,45,89,0.506,11,27,0.407,17,18,0.944,13,58,26,9,9,19,22,NA,33,96,0.344,5,31,0.161,17,21,0.81,16,45,14,12,3,15,15,CHI
356,4,4,2016/11/2,@,BOS,L,100,107,35,81,0.432,7,20,0.35,23,31,0.742,15,49,21,7,7,19,19,NA,41,87,0.471,14,32,0.438,11,17,0.647,10,39,28,10,4,12,24,CHI
357,5,5,2016/11/4,,NYK,L,104,117,37,84,0.44,8,23,0.348,22,27,0.815,15,42,15,4,4,12,16,NA,46,89,0.517,9,21,0.429,16,21,0.762,11,40,32,7,2,5,23,CHI
358,6,6,2016/11/5,@,IND,L,94,111,34,79,0.43,6,18,0.333,20,25,0.8,13,40,17,8,5,16,13,NA,46,86,0.535,12,26,0.462,7,12,0.583,8,36,27,8,9,11,20,CHI
359,7,7,2016/11/7,,ORL,W,112,80,42,89,0.472,3,19,0.158,25,31,0.806,15,56,26,7,4,8,11,NA,33,85,0.388,9,30,0.3,5,6,0.833,6,39,28,6,6,14,23,CHI
360,8,8,2016/11/9,@,ATL,L,107,115,41,91,0.451,9,27,0.333,16,21,0.762,8,31,24,14,3,13,21,NA,42,83,0.506,9,20,0.45,22,27,0.815,13,48,24,8,7,21,20,CHI
361,9,9,2016/11/10,@,MIA,W,98,95,37,89,0.416,6,16,0.375,18,20,0.9,12,48,18,7,2,10,12,NA,36,88,0.409,13,29,0.448,10,15,0.667,14,46,22,8,5,13,19,CHI
362,10,10,2016/11/12,,WAS,W,106,95,39,97,0.402,5,15,0.333,23,25,0.92,15,52,21,7,6,10,20,NA,38,91,0.418,4,13,0.308,15,18,0.833,13,49,19,3,7,12,22,CHI
363,11,11,2016/11/15,@,POR,W,113,88,41,98,0.418,7,20,0.35,24,28,0.857,19,67,16,7,4,10,19,NA,34,95,0.358,9,34,0.265,11,18,0.611,15,49,17,8,4,11,18,CHI
364,12,12,2016/11/17,@,UTA,W,85,77,33,90,0.367,5,17,0.294,14,16,0.875,14,46,8,7,6,8,16,NA,30,78,0.385,5,25,0.2,12,14,0.857,10,48,11,4,3,13,14,CHI
365,13,13,2016/11/19,@,LAC,L,95,102,33,77,0.429,9,30,0.3,20,24,0.833,15,41,17,7,4,12,20,NA,36,77,0.468,11,27,0.407,19,23,0.826,11,38,20,6,2,13,20,CHI
366,14,14,2016/11/20,@,LAL,W,118,110,45,87,0.517,8,22,0.364,20,28,0.714,16,56,27,6,3,16,16,NA,41,93,0.441,13,31,0.419,15,21,0.714,10,37,26,11,3,10,19,CHI
367,15,15,2016/11/22,@,DEN,L,107,110,43,95,0.453,6,18,0.333,15,18,0.833,10,48,22,6,11,6,18,NA,43,100,0.43,10,22,0.455,14,17,0.824,17,55,26,5,6,10,14,CHI
368,16,16,2016/11/25,@,PHI,W,105,89,40,90,0.444,6,21,0.286,19,26,0.731,11,51,24,10,5,12,17,NA,31,78,0.397,9,22,0.409,18,22,0.818,8,48,18,7,8,19,21,CHI
369,17,17,2016/11/30,,LAL,L,90,96,32,91,0.352,4,21,0.19,22,29,0.759,14,46,22,15,11,14,26,NA,33,81,0.407,2,8,0.25,28,41,0.683,18,60,17,12,3,23,24,CHI
370,18,18,2016/12/2,,CLE,W,111,105,47,96,0.49,3,18,0.167,14,17,0.824,16,49,31,11,4,12,16,NA,45,83,0.542,10,26,0.385,5,10,0.5,6,33,30,5,1,18,15,CHI
371,19,19,2016/12/3,@,DAL,L,82,107,32,71,0.451,3,13,0.231,15,21,0.714,11,43,9,4,5,20,22,NA,40,87,0.46,13,31,0.419,14,18,0.778,13,42,31,11,2,10,19,CHI
372,20,20,2016/12/5,,POR,L,110,112,35,83,0.422,7,23,0.304,33,38,0.868,15,50,16,8,11,15,17,NA,45,93,0.484,9,24,0.375,13,18,0.722,10,38,25,9,8,9,27,CHI
373,21,21,2016/12/6,@,DET,L,91,102,33,75,0.44,2,15,0.133,23,32,0.719,9,45,15,6,7,14,20,NA,40,88,0.455,8,21,0.381,14,21,0.667,9,44,24,10,5,9,23,CHI
374,22,22,2016/12/8,,SAS,W,95,91,35,80,0.438,4,17,0.235,21,27,0.778,11,51,24,7,5,20,13,NA,39,97,0.402,9,28,0.321,4,5,0.8,11,43,21,12,8,12,18,CHI
375,23,23,2016/12/10,,MIA,W,105,100,38,84,0.452,1,8,0.125,28,31,0.903,12,47,17,8,6,11,15,NA,42,91,0.462,5,20,0.25,11,18,0.611,14,43,25,5,5,12,22,CHI
376,24,24,2016/12/13,,MIN,L,94,99,38,87,0.437,4,15,0.267,14,19,0.737,13,42,20,7,6,9,16,NA,38,86,0.442,6,21,0.286,17,22,0.773,14,48,24,3,8,14,14,CHI
377,25,25,2016/12/15,@,MIL,L,97,108,35,74,0.473,5,20,0.25,22,29,0.759,6,41,23,5,3,16,16,NA,45,95,0.474,11,20,0.55,7,13,0.538,13,42,32,8,5,8,20,CHI
378,26,26,2016/12/16,,MIL,L,69,95,28,92,0.304,5,21,0.238,8,15,0.533,19,50,17,7,2,12,14,NA,38,82,0.463,10,25,0.4,9,13,0.692,11,53,26,7,4,11,14,CHI
379,27,27,2016/12/19,,DET,W,113,82,49,82,0.598,8,16,0.5,7,7,1,9,46,34,9,5,13,13,NA,34,83,0.41,3,23,0.13,11,13,0.846,10,32,19,8,3,11,8,CHI
380,28,28,2016/12/21,,WAS,L,97,107,38,95,0.4,6,21,0.286,15,19,0.789,17,49,25,4,5,14,18,NA,43,82,0.524,3,18,0.167,18,25,0.72,6,44,23,7,3,10,20,CHI
381,29,29,2016/12/23,@,CHO,L,91,103,38,96,0.396,7,22,0.318,8,10,0.8,17,52,20,5,6,9,20,NA,37,84,0.44,5,18,0.278,24,28,0.857,12,48,25,6,13,10,8,CHI
382,30,30,2016/12/25,@,SAS,L,100,119,39,86,0.453,7,18,0.389,15,20,0.75,14,38,20,9,1,14,19,NA,48,85,0.565,9,18,0.5,14,19,0.737,11,43,30,7,3,13,19,CHI
383,31,31,2016/12/26,,IND,W,90,85,32,83,0.386,6,25,0.24,20,28,0.714,16,48,17,10,3,13,15,NA,34,81,0.42,9,25,0.36,8,10,0.8,9,40,26,5,5,16,21,CHI
384,32,32,2016/12/28,,BRK,W,101,99,35,88,0.398,3,13,0.231,28,29,0.966,17,54,20,8,8,18,17,NA,37,86,0.43,13,32,0.406,12,16,0.75,9,37,21,9,6,14,22,CHI
385,33,33,2016/12/30,@,IND,L,101,111,35,84,0.417,6,23,0.261,25,31,0.806,15,47,17,8,5,13,23,NA,39,81,0.481,7,19,0.368,26,30,0.867,8,42,26,7,6,11,22,CHI
386,34,34,2016/12/31,,MIL,L,96,116,33,83,0.398,10,27,0.37,20,28,0.714,14,37,23,9,5,11,21,NA,43,76,0.566,9,15,0.6,21,27,0.778,8,42,29,7,8,12,19,CHI
387,35,35,2017/1/2,,CHO,W,118,111,42,90,0.467,7,23,0.304,27,29,0.931,15,45,23,10,9,10,17,NA,41,83,0.494,9,19,0.474,20,22,0.909,7,34,24,7,3,14,19,CHI
388,36,36,2017/1/4,@,CLE,W,106,94,41,85,0.482,13,30,0.433,11,15,0.733,12,43,23,8,3,12,18,NA,34,83,0.41,8,25,0.32,18,24,0.75,16,44,13,6,2,15,16,CHI
389,37,37,2017/1/7,,TOR,W,123,118,38,97,0.392,11,28,0.393,36,39,0.923,17,60,25,5,2,14,27,NA,37,85,0.435,8,31,0.258,36,43,0.837,6,41,20,11,5,10,22,CHI
390,38,38,2017/1/9,,OKC,L,94,109,34,83,0.41,7,19,0.368,19,22,0.864,9,38,18,7,2,11,13,NA,47,83,0.566,7,24,0.292,8,11,0.727,6,42,30,5,5,12,17,CHI
391,39,39,2017/1/10,@,WAS,L,99,101,35,88,0.398,10,27,0.37,19,21,0.905,12,44,19,10,2,17,18,NA,42,83,0.506,11,22,0.5,6,9,0.667,7,42,24,8,6,21,24,CHI
392,40,40,2017/1/12,@,NYK,L,89,104,35,89,0.393,3,18,0.167,16,21,0.762,14,43,20,5,4,12,12,NA,44,92,0.478,7,23,0.304,9,11,0.818,17,48,21,3,7,12,17,CHI
393,41,41,2017/1/14,,NOP,W,107,99,43,101,0.426,8,20,0.4,13,23,0.565,21,63,22,10,6,10,20,NA,39,84,0.464,7,23,0.304,14,21,0.667,6,42,27,3,6,11,19,CHI
394,42,42,2017/1/15,@,MEM,W,108,104,40,78,0.513,4,17,0.235,24,35,0.686,6,47,18,8,5,12,14,NA,40,95,0.421,11,32,0.344,13,13,1,13,50,24,6,3,10,22,CHI
395,43,43,2017/1/17,,DAL,L,98,99,37,82,0.451,6,14,0.429,18,22,0.818,11,43,23,6,3,13,22,NA,37,78,0.474,11,28,0.393,14,18,0.778,6,36,27,5,2,12,21,CHI
396,44,44,2017/1/20,@,ATL,L,93,102,34,81,0.42,7,28,0.25,18,19,0.947,12,41,18,12,5,24,17,NA,39,82,0.476,9,22,0.409,15,19,0.789,10,40,23,16,3,19,19,CHI
397,45,45,2017/1/21,,SAC,W,102,99,34,83,0.41,6,17,0.353,28,33,0.848,14,48,22,7,7,11,18,NA,37,84,0.44,9,26,0.346,16,21,0.762,9,40,20,7,5,9,23,CHI
398,46,46,2017/1/24,@,ORL,W,100,92,35,77,0.455,7,22,0.318,23,30,0.767,6,44,12,13,6,13,19,NA,35,85,0.412,7,22,0.318,15,20,0.75,12,48,18,7,2,19,18,CHI
399,47,47,2017/1/25,,ATL,L,114,119,43,94,0.457,8,27,0.296,20,26,0.769,12,41,18,6,5,6,16,NA,43,83,0.518,17,30,0.567,16,19,0.842,6,39,29,5,5,13,20,CHI
400,48,48,2017/1/27,,MIA,L,88,100,33,78,0.423,3,13,0.231,19,25,0.76,9,43,19,7,9,21,12,NA,41,89,0.461,9,24,0.375,9,11,0.818,7,40,25,14,2,10,17,CHI
401,49,49,2017/1/29,,PHI,W,121,108,45,89,0.506,8,14,0.571,23,28,0.821,10,49,29,8,5,10,11,NA,44,99,0.444,10,28,0.357,10,14,0.714,11,43,26,8,8,12,22,CHI
402,50,50,2017/2/1,@,OKC,W,128,100,49,81,0.605,6,15,0.4,24,30,0.8,4,42,25,7,2,9,19,NA,38,100,0.38,10,37,0.27,14,17,0.824,11,37,17,6,4,9,23,CHI
403,51,51,2017/2/3,@,HOU,L,117,121,48,100,0.48,8,25,0.32,13,18,0.722,14,53,30,7,7,14,23,NA,44,98,0.449,16,43,0.372,17,25,0.68,8,48,24,7,3,11,23,CHI
404,52,52,2017/2/6,@,SAC,W,112,107,43,81,0.531,6,19,0.316,20,31,0.645,8,35,21,10,3,8,17,NA,41,79,0.519,11,28,0.393,14,16,0.875,9,40,27,4,5,15,25,CHI
405,53,53,2017/2/8,@,GSW,L,92,123,37,92,0.402,4,24,0.167,14,19,0.737,15,44,25,7,2,14,17,NA,48,85,0.565,15,28,0.536,12,13,0.923,5,45,37,9,5,12,17,CHI
406,54,54,2017/2/10,@,PHO,L,97,115,37,86,0.43,5,19,0.263,18,22,0.818,12,41,20,7,5,11,16,NA,48,95,0.505,8,19,0.421,11,13,0.846,13,43,25,4,8,8,18,CHI
407,55,55,2017/2/12,@,MIN,L,89,117,35,84,0.417,10,25,0.4,9,13,0.692,9,35,22,7,2,18,24,NA,44,81,0.543,6,24,0.25,23,26,0.885,10,46,27,11,4,14,14,CHI
408,56,56,2017/2/14,,TOR,W,105,94,35,73,0.479,7,17,0.412,28,35,0.8,7,37,22,8,5,17,23,NA,35,77,0.455,5,20,0.25,19,24,0.792,8,34,15,9,1,16,26,CHI
409,57,57,2017/2/16,,BOS,W,104,103,38,90,0.422,6,25,0.24,22,22,1,15,51,23,2,6,7,13,NA,36,77,0.468,14,37,0.378,17,20,0.85,4,31,24,2,4,7,18,CHI
410,58,58,2017/2/24,,PHO,W,128,121,46,98,0.469,12,26,0.462,24,31,0.774,11,46,31,14,4,12,21,NA,49,93,0.527,8,24,0.333,15,25,0.6,8,43,27,8,6,18,23,CHI
411,59,59,2017/2/25,@,CLE,W,117,99,46,93,0.495,15,30,0.5,10,16,0.625,10,47,34,6,0,7,13,NA,37,80,0.463,14,37,0.378,11,15,0.733,4,40,24,5,3,12,17,CHI
412,60,60,2017/2/28,,DEN,L,107,125,44,96,0.458,10,26,0.385,9,10,0.9,11,35,26,10,3,12,19,NA,45,80,0.563,13,30,0.433,22,24,0.917,6,45,26,6,2,16,16,CHI
413,61,61,2017/3/2,,GSW,W,94,87,36,82,0.439,5,19,0.263,17,21,0.81,7,49,19,9,5,15,15,NA,34,88,0.386,6,30,0.2,13,14,0.929,6,41,23,10,6,15,18,CHI
414,62,62,2017/3/4,,LAC,L,91,101,35,83,0.422,6,17,0.353,15,20,0.75,14,45,26,11,0,19,24,NA,41,85,0.482,6,25,0.24,13,16,0.813,11,37,20,7,5,14,17,CHI
415,63,63,2017/3/6,@,DET,L,95,109,34,83,0.41,8,28,0.286,19,21,0.905,7,37,21,3,5,10,20,NA,45,92,0.489,6,21,0.286,13,20,0.65,10,48,26,7,3,6,19,CHI
416,64,64,2017/3/8,@,ORL,L,91,98,36,81,0.444,12,28,0.429,7,11,0.636,9,44,24,3,4,16,16,NA,37,89,0.416,7,25,0.28,17,21,0.81,15,48,21,10,4,9,17,CHI
417,65,65,2017/3/10,,HOU,L,94,115,38,98,0.388,9,39,0.231,9,12,0.75,11,49,24,9,4,18,21,NA,37,89,0.416,15,47,0.319,26,32,0.813,11,54,26,11,4,17,15,CHI
418,66,66,2017/3/12,@,BOS,L,80,100,33,87,0.379,7,25,0.28,7,9,0.778,12,40,18,13,3,17,10,NA,40,86,0.465,16,37,0.432,4,4,1,12,51,22,14,5,21,14,CHI
419,67,67,2017/3/13,@,CHO,W,115,109,41,92,0.446,14,40,0.35,19,22,0.864,12,50,29,6,5,10,20,NA,43,93,0.462,7,29,0.241,16,19,0.842,11,44,25,4,3,6,18,CHI
420,68,68,2017/3/15,,MEM,L,91,98,34,91,0.374,11,28,0.393,12,15,0.8,14,45,22,6,6,5,19,NA,36,85,0.424,11,31,0.355,15,18,0.833,14,52,26,2,3,11,19,CHI
421,69,69,2017/3/17,@,WAS,L,107,112,44,88,0.5,7,27,0.259,12,18,0.667,15,53,28,5,5,18,19,NA,46,101,0.455,10,26,0.385,10,12,0.833,13,40,34,5,6,10,17,CHI
422,70,70,2017/3/18,,UTA,W,95,86,38,80,0.475,7,19,0.368,12,14,0.857,7,39,24,7,9,10,18,NA,31,81,0.383,7,25,0.28,17,25,0.68,17,49,15,6,8,14,12,CHI
423,71,71,2017/3/21,@,TOR,L,120,122,42,90,0.467,14,37,0.378,22,27,0.815,9,39,25,9,10,14,24,NA,47,95,0.495,8,23,0.348,20,27,0.741,16,50,18,6,4,16,23,CHI
424,72,72,2017/3/22,,DET,W,117,95,47,80,0.588,11,23,0.478,12,19,0.632,7,36,36,12,2,11,20,NA,39,88,0.443,7,20,0.35,10,17,0.588,16,44,18,6,1,15,17,CHI
425,73,73,2017/3/24,,PHI,L,107,117,37,91,0.407,10,24,0.417,23,31,0.742,15,39,22,9,5,14,15,NA,46,83,0.554,8,25,0.32,17,23,0.739,11,46,23,10,4,18,22,CHI
426,74,74,2017/3/26,@,MIL,W,109,94,46,85,0.541,10,21,0.476,7,10,0.7,10,49,33,4,2,14,16,NA,37,84,0.44,7,23,0.304,13,17,0.765,9,34,20,8,0,9,9,CHI
427,75,75,2017/3/30,,CLE,W,99,93,38,90,0.422,12,25,0.48,11,18,0.611,15,51,26,11,3,12,15,NA,37,83,0.446,10,27,0.37,9,16,0.563,9,44,23,6,5,15,22,CHI
428,76,76,2017/4/1,,ATL,W,106,104,40,85,0.471,12,30,0.4,14,14,1,6,40,25,6,4,12,17,NA,40,90,0.444,11,28,0.393,13,17,0.765,11,45,25,4,1,13,16,CHI
429,77,77,2017/4/2,@,NOP,W,117,110,45,92,0.489,13,26,0.5,14,18,0.778,9,49,26,7,6,11,23,NA,33,81,0.407,10,30,0.333,34,35,0.971,6,40,24,7,4,12,14,CHI
430,78,78,2017/4/4,@,NYK,L,91,100,32,85,0.376,6,27,0.222,21,23,0.913,11,37,22,7,5,14,15,NA,42,89,0.472,6,23,0.261,10,16,0.625,16,54,26,4,8,14,22,CHI
431,79,79,2017/4/6,@,PHI,W,102,90,39,91,0.429,8,25,0.32,16,17,0.941,10,57,27,7,6,16,19,NA,33,91,0.363,7,33,0.212,17,22,0.773,10,50,19,10,3,13,19,CHI
432,80,80,2017/4/8,@,BRK,L,106,107,40,90,0.444,11,24,0.458,15,17,0.882,11,52,14,6,6,17,20,NA,39,92,0.424,10,31,0.323,19,24,0.792,10,44,24,15,6,13,13,CHI
433,81,81,2017/4/10,,ORL,W,122,75,48,89,0.539,12,26,0.462,14,16,0.875,11,54,33,12,4,12,16,NA,29,84,0.345,5,27,0.185,12,16,0.75,9,37,18,5,5,16,18,CHI
434,82,82,2017/4/12,,BRK,W,112,73,41,95,0.432,14,30,0.467,16,21,0.762,14,62,28,15,4,12,18,NA,28,86,0.326,3,33,0.091,14,18,0.778,10,48,17,8,3,18,16,CHI
435,1,1,2017/4/16,@,BOS,W,106,102,39,91,0.429,8,26,0.308,20,23,0.87,20,53,22,10,7,16,18,NA,37,86,0.43,14,38,0.368,14,19,0.737,12,36,27,9,4,15,20,CHI
436,2,2,2017/4/18,@,BOS,W,111,97,45,89,0.506,10,25,0.4,11,14,0.786,12,44,28,12,6,10,17,NA,38,82,0.463,10,33,0.303,11,19,0.579,11,38,26,6,4,16,17,CHI
437,3,3,2017/4/21,,BOS,L,87,104,33,84,0.393,6,21,0.286,15,15,1,15,52,14,7,8,17,15,NA,41,86,0.477,17,37,0.459,5,7,0.714,7,37,34,11,2,12,12,CHI
438,4,4,2017/4/23,,BOS,L,95,104,32,76,0.421,5,24,0.208,26,33,0.788,12,44,19,5,3,12,23,NA,38,82,0.463,10,37,0.27,18,22,0.818,11,42,22,7,4,13,24,CHI
439,5,5,2017/4/26,@,BOS,L,97,108,37,74,0.5,9,26,0.346,14,17,0.824,5,42,24,4,5,16,21,NA,38,88,0.432,9,40,0.225,23,23,1,8,38,27,9,3,6,16,CHI
440,6,6,2017/4/28,,BOS,L,83,105,32,81,0.395,4,19,0.211,15,17,0.882,11,45,13,5,2,13,16,NA,39,80,0.488,16,39,0.41,11,18,0.611,7,43,28,7,5,9,14,CHI
441,1,1,2016/10/25,,NYK,W,117,88,45,94,0.479,13,35,0.371,14,19,0.737,11,51,31,12,5,14,22,NA,32,87,0.368,9,27,0.333,15,20,0.75,13,42,17,6,6,18,22,CLE
442,2,2,2016/10/28,@,TOR,W,94,91,33,79,0.418,12,32,0.375,16,22,0.727,9,40,20,8,3,17,15,NA,35,90,0.389,4,16,0.25,17,18,0.944,18,51,12,9,3,18,20,CLE
