,Rk,G,Date,X,Opp,W.L,Tm,Opp.1,TeamFG,TeamFGA,TeamFG.,Team3P,Team3PA,Team3P.,TeamFT,TeamFTA,TeamFT.,TeamORB,TeamTRB,TeamAST,TeamSTL,TeamBLK,TeamTOV,TeamPF,X.1,OppoFG,OppoFGA,OppoFG.,Oppo3P,Oppo3PA,Oppo3P.,OppoFT,OppoFTA,OppoFT.,OppoORB,OppoTRB,OppoAST,OppoSTL,OppoBLK,OppoTOV,OppoPF,Tm1
260,72,72,2017/3/24,@,WAS,L,108,129,43,82,0.524,3,15,0.2,19,26,0.731,6,38,24,5,4,14,22,NA,49,97,0.505,10,26,0.385,21,22,0.955,11,46,29,9,5,10,19,BRK
261,73,73,2017/3/26,@,ATL,W,107,92,38,86,0.442,6,22,0.273,25,30,0.833,12,50,21,13,7,17,25,NA,34,98,0.347,5,27,0.185,19,32,0.594,26,58,16,10,3,20,19,BRK
262,74,74,2017/3/28,,PHI,L,101,106,38,94,0.404,9,32,0.281,16,24,0.667,13,50,22,11,5,13,19,NA,39,91,0.429,10,33,0.303,18,21,0.857,12,53,21,7,9,16,23,BRK
263,75,75,2017/3/30,@,DET,L,89,90,35,92,0.38,10,31,0.323,9,12,0.75,8,46,17,4,4,12,16,NA,36,86,0.419,7,18,0.389,11,17,0.647,11,53,20,6,7,16,11,BRK
264,76,76,2017/4/1,,ORL,W,121,111,50,94,0.532,8,31,0.258,13,16,0.813,9,44,26,8,5,11,15,NA,45,91,0.495,10,25,0.4,11,15,0.733,11,42,26,9,2,14,15,BRK
265,77,77,2017/4/2,,ATL,W,91,82,32,82,0.39,10,33,0.303,17,20,0.85,8,51,21,11,6,19,22,NA,30,80,0.375,7,24,0.292,15,23,0.652,8,44,19,9,4,19,19,BRK
266,78,78,2017/4/4,@,PHI,W,141,118,48,75,0.64,16,31,0.516,29,33,0.879,1,36,36,9,5,17,18,NA,43,97,0.443,12,38,0.316,20,27,0.741,14,36,32,7,4,11,22,BRK
267,79,79,2017/4/6,@,ORL,L,107,115,40,87,0.46,11,30,0.367,16,22,0.727,7,39,21,7,6,14,19,NA,42,90,0.467,9,25,0.36,22,26,0.846,9,48,24,9,6,13,20,BRK
268,80,80,2017/4/8,,CHI,W,107,106,39,92,0.424,10,31,0.323,19,24,0.792,10,44,24,15,6,13,13,NA,40,90,0.444,11,24,0.458,15,17,0.882,11,52,14,6,6,17,20,BRK
269,81,81,2017/4/10,@,BOS,L,105,114,31,86,0.36,8,31,0.258,35,39,0.897,9,49,18,8,6,12,19,NA,41,91,0.451,14,38,0.368,18,21,0.857,9,51,31,7,4,13,23,BRK
270,82,82,2017/4/12,@,CHI,L,73,112,28,86,0.326,3,33,0.091,14,18,0.778,10,48,17,8,3,18,16,NA,41,95,0.432,14,30,0.467,16,21,0.762,14,62,28,15,4,12,18,BRK
271,1,1,2016/10/26,@,MIL,W,107,96,40,89,0.449,7,23,0.304,20,24,0.833,11,51,27,5,10,10,22,NA,39,92,0.424,3,16,0.188,15,20,0.75,10,46,23,4,5,8,22,CHA
272,2,2,2016/10/28,@,MIA,W,97,91,35,92,0.38,7,22,0.318,20,24,0.833,13,49,20,10,9,8,20,NA,32,86,0.372,14,34,0.412,13,20,0.65,11,52,19,2,4,19,23,CHA
273,3,3,2016/10/29,,BOS,L,98,104,32,79,0.405,9,32,0.281,25,33,0.758,6,38,22,8,6,8,17,NA,39,81,0.481,15,31,0.484,11,17,0.647,4,42,25,4,6,13,26,CHA
