"","x"
"578",12
"579",4
"580",-12
"581",-8
"582",13
"583",5
"584",1
"585",1
"586",14
"587",3
"588",18
"589",5
"590",16
"591",15
"592",-5
"593",0
"594",-1
"595",-3
"596",0
"597",3
"598",-3
"599",0
"600",4
"601",3
"602",15
"603",0
"604",-2
"605",-3
"606",3
"607",10
"608",-4
"609",-5
"610",3
"611",-7
"612",6
"613",-11
"614",8
"615",2
"616",-1
"617",-7
"618",9
"619",-4
"620",11
"621",8
"622",16
"623",12
"624",14
"625",4
"626",7
"627",18
"628",6
"629",11
"630",6
"631",5
"632",9
"633",7
"634",-3
"635",5
"636",-12
"637",7
"638",5
"639",-4
"640",-11
"641",9
"642",5
"643",3
"644",2
"645",-8
"646",19
"647",8
"648",-8
"649",16
"650",-1
"651",-2
"652",-10
"653",-5
"654",-3
"655",-17
"656",-11
"657",3
"658",-4
"659",9
"660",-12
"661",-4
"662",4
"663",2
"664",-12
"665",-2
"666",0
"667",6
"668",-5
"669",11
"670",14
"671",-1
"672",16
"673",9
"674",15
"675",-11
"676",11
"677",-1
"678",14
"679",-5
"680",-3
"681",-13
"682",0
"683",2
"684",-2
"685",4
"686",9
"687",13
"688",-14
"689",-3
"690",-10
"691",0
"692",-5
"693",0
"694",19
"695",8
"696",-12
"697",5
"698",10
"699",-3
"700",6
"701",11
"702",-2
"703",3
"704",-9
"705",-7
"706",5
"707",2
"708",-16
"709",13
"710",25
"711",-5
"712",-3
"713",7
"714",7
"715",-10
"716",6
"717",15
"718",-6
"719",-4
"720",7
"721",-20
"722",3
"723",-7
"724",6
"725",-9
"726",-4
"727",11
"728",-11
"729",6
"730",1
"731",6
"732",-7
"733",-7
"734",8
"735",9
"736",8
"737",-5
"738",6
"739",-1
"740",-16
"741",7
"742",26
"743",-8
"744",0
"745",13
"746",12
"747",2
"748",-14
"749",5
"750",-3
"751",-3
"752",-5
"753",-4
"754",-9
"755",-8
"756",-17
"757",-26
"758",-2
"759",10
"760",4
"761",-8
"762",23
"763",20
"764",-2
"765",3
"766",6
"767",-11
"768",-5
"769",15
"770",-11
"771",2
"772",5
"773",-2
"774",-4
"775",-5
"776",16
"777",12
"778",-7
"779",-6
"780",13
"781",-15
"782",13
"783",1
"784",1
"785",5
"786",7
"787",15
"788",3
"789",6
"790",11
"791",8
"792",-1
"793",4
"794",-16
"795",-10
"796",-2
"797",-5
"798",-23
"799",1
"800",0
"801",-4
"802",-2
"803",-14
"804",-8
"805",-4
"806",12
"807",-15
"808",-1
"809",-14
"810",11
"811",0
"812",-20
"813",0
"814",-8
"815",-9
"816",-1
"817",2
"818",12
"819",10
"820",2
"821",-9
"822",7
"823",-1
"824",21
"825",-6
"826",1
"827",2
"828",-24
"829",-3
"830",4
"831",3
"832",12
"833",0
"834",-14
"835",3
"836",11
"837",-11
"838",9
"839",-8
"840",-2
"841",-4
"842",-14
"843",-12
"844",5
"845",-18
"846",-11
"847",3
"848",-6
"849",-6
"850",-8
"851",-20
"852",-4
"853",-4
"854",-6
"855",2
"856",7
"857",-2
"858",-1
"859",-8
"860",2
"861",13
"862",3
"863",1
"864",13
"865",6
"866",3
"867",-2
"868",-14
"869",7
"870",6
"871",13
"872",6
"873",-5
"874",-11
"875",0
"876",-6
"877",11
"878",3
"879",14
"880",8
"881",0
"882",0
"883",3
"884",2
"885",-4
"886",0
"887",8
"888",-4
"889",0
"890",-5
"891",-1
"892",6
"893",1
"894",-15
"895",-15
"896",5
"897",10
"898",-8
"899",6
"900",0
"901",-14
"902",4
"903",6
"904",6
"905",14
"906",-11
"907",-9
"908",4
"909",-8
"910",7
"911",-2
"912",1
"913",4
"914",18
"915",-7
"916",21
"917",-1
"918",-3
"919",-5
"920",5
"921",2
"922",-1
"923",5
"924",-7
"925",5
"926",8
"927",-3
"928",15
"929",-4
"930",-5
"931",-8
"932",-1
"933",-7
"934",-2
"935",6
"936",13
"937",5
"938",-23
"939",-12
"940",-7
"941",-12
"942",2
"943",-19
"944",-1
"945",-8
"946",5
"947",1
"948",11
"949",-17
"950",-2
"951",10
"952",2
"953",3
"954",-4
"955",4
"956",1
"957",4
"958",2
"959",2
"960",7
"961",-5
"962",-3
"963",5
"964",0
"965",-18
"966",12
"967",-3
"968",9
"969",7
"970",10
"971",-10
"972",-1
"973",-3
"974",0
"975",-14
"976",-18
"977",-6
"978",-3
"979",-8
"980",-10
"981",8
"982",2
"983",-5
"984",7
"985",7
"986",6
"987",9
"988",2
"989",1
"990",23
"991",9
"992",6
"993",-7
"994",7
"995",4
"996",-7
"997",-4
"998",-9
"999",14
"1000",-3
"1001",-18
"1002",-13
"1003",0
"1004",15
"1005",6
"1006",-6
"1007",0
"1008",7
"1009",0
"1010",11
"1011",-19
"1012",-2
"1013",15
"1014",4
"1015",12
"1016",8
"1017",7
"1018",-7
"1019",-12
"1020",2
"1021",-6
"1022",-14
"1023",7
"1024",1
"1025",-15
"1026",-1
"1027",10
"1028",16
"1029",11
"1030",2
"1031",-6
"1032",8
"1033",-1
"1034",-4
"1035",-8
"1036",13
"1037",-8
"1038",-11
"1039",-7
"1040",-13
"1041",-15
"1042",0
"1043",-6
"1044",9
"1045",7
"1046",10
"1047",-8
"1048",17
"1049",-5
"1050",2
"1051",7
"1052",1
"1053",-4
"1054",-5
"1055",3
"1056",-1
"1057",-15
"1058",-17
"1059",7
"1060",-13
"1061",-13
"1062",-6
"1063",-1
"1064",-4
"1065",4
"1066",-9
"1067",-3
"1068",0
"1069",17
"1070",1
"1071",-3
"1072",-3
"1073",0
"1074",-9
"1075",-4
"1076",6
"1077",-4
"1078",0
"1079",-4
"1080",9
"1081",-18
"1082",-6
"1083",-7
"1084",-6
"1085",0
"1086",11
"1087",2
"1088",-17
"1089",-4
"1090",-9
"1091",-8
"1092",1
"1093",0
"1094",0
"1095",-6
"1096",-5
"1097",-19
"1098",6
"1099",2
"1100",8
"1101",-1
"1102",-9
"1103",7
"1104",-2
"1105",6
"1106",-8
"1107",9
"1108",6
"1109",5
"1110",8
"1111",10
"1112",1
"1113",6
"1114",5
"1115",6
"1116",6
"1117",1
"1118",0
"1119",-3
"1120",9
"1121",2
"1122",1
"1123",5
"1124",8
"1125",-8
"1126",-6
"1127",-8
"1128",-16
"1129",-9
"1130",-18
"1131",-2
"1132",-2
"1133",1
"1134",13
"1135",-16
"1136",-8
"1137",-1
"1138",-6
"1139",-11
"1140",-18
"1141",1
"1142",-11
"1143",1
"1144",-10
"1145",-7
"1146",-5
"1147",-12
"1148",9
"1149",-5
"1150",-7
"1151",-2
"1152",-11
"1153",1
"1154",-12
"1155",-3
"1156",-4
"1157",-13
"1158",-9
"1159",11
"1160",7
"1161",7
"1162",3
"1163",-7
"1164",-6
"1165",-9
"1166",5
"1167",-18
"1168",2
"1169",-1
"1170",-10
"1171",7
"1172",15
"1173",-2
"1174",-5
"1175",5
"1176",-1
"1177",-1
"1178",-5
"1179",5
"1180",-12
"1181",-1
"1182",1
"1183",5
"1184",10
"1185",4
"1186",4
"1187",10
"1188",29
"1189",13
"1190",-1
"1191",2
"1192",3
"1193",6
"1194",12
"1195",-5
"1196",3
"1197",-8
"1198",0
"1199",14
"1200",0
"1201",7
"1202",5
"1203",4
"1204",15
"1205",0
"1206",3
"1207",9
"1208",7
"1209",-1
"1210",7
"1211",-3
"1212",1
"1213",2
"1214",2
"1215",0
"1216",-6
"1217",2
"1218",-5
"1219",5
"1220",3
"1221",-5
"1222",-17
"1223",-5
"1224",-4
"1225",2
"1226",-10
"1227",-9
"1228",-4
"1229",-6
"1230",12
"1231",1
"1232",5
"1233",0
"1234",-15
"1235",7
"1236",-11
"1237",-4
"1238",-4
"1239",-13
"1240",-13
"1241",-4
"1242",4
"1243",3
"1244",0
"1245",-3
"1246",-2
"1247",1
"1248",-1
"1249",5
"1250",6
"1251",6
"1252",-8
"1253",2
"1254",0
"1255",-4
"1256",-1
"1257",-7
"1258",-15
"1259",-13
"1260",12
"1261",4
"1262",10
"1263",6
"1264",-5
"1265",-7
"1266",7
