Rk,G,Date,,Opp,W/L,Tm,Opp,TeamFG,TeamFGA,TeamFG%,Team3P,Team3PA,Team3P%,TeamFT,TeamFTA,TeamFT%,TeamORB,TeamTRB,TeamAST,TeamSTL,TeamBLK,TeamTOV,TeamPF,,OppoFG,OppoFGA,OppoFG%,Oppo3P,Oppo3PA,Oppo3P%,OppoFT,OppoFTA,OppoFT%,OppoORB,OppoTRB,OppoAST,OppoSTL,OppoBLK,OppoTOV,OppoPF
1,1,2012-11-02,,IND,W,90,89,31,85,.365,7,19,.368,21,24,.875,10,41,18,10,9,10,22,,33,83,.398,7,26,.269,16,27,.593,14,52,19,5,5,17,16
2,2,2012-11-03,@,DAL,L,99,126,39,91,.429,3,17,.176,18,24,.750,15,38,19,13,2,10,14,,49,80,.613,16,25,.640,12,15,.800,8,43,31,6,7,22,23
3,3,2012-11-07,,PHO,L,110,117,38,87,.437,10,22,.455,24,27,.889,15,39,26,4,12,12,20,,43,93,.462,12,27,.444,19,28,.679,22,50,29,8,11,12,24
4,4,2012-11-09,@,NOH,L,99,107,40,83,.482,7,21,.333,12,18,.667,15,41,17,7,9,12,17,,43,83,.518,8,22,.364,13,21,.619,13,40,29,5,7,9,15
5,5,2012-11-10,,DAL,W,101,97,40,95,.421,3,20,.150,18,28,.643,21,53,15,12,6,17,24,,32,79,.405,9,19,.474,24,30,.800,8,43,21,9,7,19,24
6,6,2012-11-13,,WAS,W,92,76,31,78,.397,3,13,.231,27,32,.844,13,50,17,8,7,12,20,,25,84,.298,5,31,.161,21,32,.656,18,50,18,5,10,17,24
7,7,2012-11-14,@,MIN,W,89,87,38,84,.452,4,16,.250,9,14,.643,9,43,15,11,12,15,26,,31,81,.383,5,19,.263,20,37,.541,19,53,20,7,11,17,14
8,8,2012-11-17,,MEM,L,87,94,32,85,.376,4,13,.308,19,28,.679,15,46,17,7,5,16,25,,31,80,.388,2,14,.143,30,34,.882,12,44,17,10,7,14,23
9,9,2012-11-19,,MIL,W,102,98,36,82,.439,3,11,.273,27,30,.900,11,44,22,7,5,16,14,,44,93,.473,2,16,.125,8,11,.727,9,39,26,5,12,14,27
10,10,2012-11-21,,TOR,W,98,97,36,86,.419,3,19,.158,23,28,.821,9,37,21,7,9,12,21,,37,80,.463,9,23,.391,14,20,.700,9,36,23,5,8,14,25
